,Code,Source,Link,Location,,,,,"Agro-ecological zone, Soil class(es) and other environmental information",,,,,Crop,,Cropping systems,"Basic experimental objectives and treatment structure.  Record treatment descriptions, including an account of any factorial structure",,Repeated analysis done?,Data Transformation?,Plot size,"Experimental design, numbers of replicates and outline ANOVA table showing degrees of freedom",,,,,,,Data ownership,Control Yield,Treatment Yield,Information on variability,,
106,DK0110,Masvaya,10.1016/j.fcr.2017.04.016,Zimbabwe,Nqindi,-20.6597,28.2597,2013;2014;2015,Tropic - cool / semiarid,21.6,64.3,13,The mean annual precip at Nqindi was 530 mm,Cowpea; Cowpea-Maize,The variety for Maize is SC 403; The variety for Cowpea is CBC 2,"The base practices were Improved Varieties-Inorganic Fertilizer, Improved Varieties, and Improved Varieties-Intercropping. The experiment was rainfed","This experiment tested Sole maize 0N - 3WAP, Sole maize 40N - 3WAP, Sole cowpea same date, Intercrop 40N same date-cowpea>>Intercrop 40N same date-cowpea..Intercrop 40N same date-maize, Sole cowpea 3WAP, and Intercrop 40N 3WAP-cowpea>>Intercrop 40N 3WAP-cowpea..Intercrop 40N 3WAP-maize against Intercrop 0N 3WAP-maize>>Intercrop 0N 3WAP-cowpea..Intercrop 0N 3WAP-maize, Intercrop 40N 3WAP-maize>>Intercrop 40N 3WAP-cowpea..Intercrop 40N 3WAP-maize, Intercrop 0N same date-cowpea>>Intercrop 0N same date-cowpea..Intercrop 0N same date-maize, Intercrop 0N 3WAP-cowpea>>Intercrop 0N 3WAP-cowpea..Intercrop 0N 3WAP-maize, Intercrop 0N 3WAP-cowpea..Intercrop 0N 3WAP-maize, Intercrop 40N 3WAP-cowpea..Intercrop 40N 3WAP-maize, Intercrop 0N same date-cowpea..Intercrop 0N same date-maize, and Intercrop 40N same date-cowpea..Intercrop 40N same date-maize.",Intercropping; Inorganic Fertilizer-Intercropping; Inorganic Fertilizer,"Yes, the experiment was done in 3 seasons",NA,61.6,Randomised complete block with 4 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,Intercrop 40N 3WAP-cowpea>>Intercrop 40N 3WAP-cowpea..Intercrop 40N 3WAP-maize yield was 0.17 t/ha; Intercrop 40N same date-cowpea>>Intercrop 40N same date-cowpea..Intercrop 40N same date-maize yield was 0.44 t/ha; Sole cowpea 3WAP yield was 0.2 t/ha; Sole cowpea same date yield was 0.58 t/ha; Sole maize 0N - 3WAP yield was 0.52 t/ha; Sole maize 40N - 3WAP yield was 1.29 t/ha,Intercrop 0N 3WAP-cowpea>>Intercrop 0N 3WAP-cowpea..Intercrop 0N 3WAP-maize yield was 0.14 t/ha; Intercrop 0N 3WAP-maize>>Intercrop 0N 3WAP-cowpea..Intercrop 0N 3WAP-maize yield was 0.57 t/ha; Intercrop 0N same date-cowpea>>Intercrop 0N same date-cowpea..Intercrop 0N same date-maize yield was 0.39 t/ha; Intercrop 40N 3WAP-cowpea>>Intercrop 40N 3WAP-cowpea..Intercrop 40N 3WAP-maize yield was 0.17 t/ha; Intercrop 40N 3WAP-maize>>Intercrop 40N 3WAP-cowpea..Intercrop 40N 3WAP-maize yield was 1.21 t/ha; Intercrop 40N same date-cowpea>>Intercrop 40N same date-cowpea..Intercrop 40N same date-maize yield was 0.44 t/ha,Not collected in ERA,Not collected in ERA,NA
107,DK0115,Menssen,10.1016/j.scienta.2017.08.003,Kenya,"JKUAT, Thika",-1.0871,37.0101,2015.2,Tropic - cool / subhumid,35.6,39.9,20.7,"The mean annual precip at JKUAT, Thika was 848 mm",Cowpea,The variety for Cowpea is Ex-Iseke; The variety for Cowpea is Dakawa; The variety for Cowpea is Ngoji; The variety for Cowpea is Tumaini; The variety for Cowpea is 9334; The variety for Cowpea is UG-CP-4; The variety for Cowpea is UG-CP-10; The variety for Cowpea is GKK-CP-2; The variety for Cowpea is GKK-CP-3; The variety for Cowpea is RW-CP-7; The variety for Cowpea is Simlaw; The variety for Cowpea is EASEED; The variety for Cowpea is Accession 6; The variety for Cowpea is Accession 20; The variety for Cowpea is Accession 25,The base practices were Organic Fertilizer,"This experiment tested Accession 6, Accession 20, and Accession 25 against Ex-Iseke, Dakawa, Ngoji, Tumaini, 9334, UG-CP-4, UG-CP-10, GKK-CP-2, GKK-CP-3, RW-CP-7, Simlaw, and EASEED.",Improved Varieties,No,NA,7.2,Randomized complete block with 4 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,Accession 20 yield was 60.53 t/ha; Accession 25 yield was 74.44 t/ha; Accession 6 yield was 26.96 t/ha,9334 yield was 63.13 t/ha; Dakawa yield was 62.66 t/ha; EASEED yield was 65.26 t/ha; Ex-Iseke yield was 59.11 t/ha; GKK-CP-2 yield was 68.1 t/ha; GKK-CP-3 yield was 66.44 t/ha; Ngoji yield was 63.84 t/ha; RW-CP-7 yield was 60.3 t/ha; Simlaw yield was 83.7 t/ha; Tumaini yield was 64.08 t/ha; UG-CP-10 yield was 57.69 t/ha; UG-CP-4 yield was 54.86 t/ha,Not collected in ERA,Not collected in ERA,Error type reported was SD (Standard Deviation): 9334 4.95; Accession 20 2.59; Accession 25 3.92; Accession 6 6.35; Dakawa 3.33; EASEED 2.29; Ex-Iseke 2.81; GKK-CP-2 3.4; GKK-CP-3 4.73; Ngoji 4.43; RW-CP-7 2.51; Simlaw 1.92; Tumaini 1.7; UG-CP-10 1.85; UG-CP-4 3.69
108,DK0117,Midega,10.1016/j.fcr.2013.09.012,Kenya,"ICIPE, Mbita Point",-0.431,34.208,2005.1;2005.2;2006.1;2006.2;2007.1;2007.2;2008.1;2008.2;2009.1;2009.2;2010.1;2010.2;2011.1;2011.2;2012.1;2012.2,Tropic - cool / humid,33.5,40.7,22.4,"The mean annual precip at ICIPE, Mbita Point was 1215 mm",Cowpea-Maize; Groundnut-Maize,The variety for Maize is WH505; The variety for Cowpea is ICV 2; The variety for Mung Bean is Local Variety; The variety for Groundnut is Homabay; The variety for Common Bean is Nyayo,The base practices were Improved Varieties-Inorganic Fertilizer. The experiment was rainfed,"This experiment tested sole maize, Cowpea..Maize intercrop, Crotalaria..Maize intercrop, Green gram..Maize intercrop, Common bean..Maize intercrop, and Groundnut..Maize intercrop against Maize intercrop>>Cowpea..Maize intercrop, Maize intercrop>>Crotalaria..Maize intercrop, Maize intercrop>>Green gram..Maize intercrop, Maize intercrop>>Common bean..Maize intercrop, Maize intercrop>>Groundnut..Maize intercrop, Maize intercrop>>desmodium..Maize intercrop, and desmodium..Maize intercrop.",Intercropping; Alleycropping,"Yes, the experiment was done in 8 seasons",NA,30,Completely randomized with 4 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Closed Access,sole maize yield was 1.84 t/ha,Maize intercrop>>Common bean..Maize intercrop yield was 2.49 t/ha; Maize intercrop>>Cowpea..Maize intercrop yield was 2.41 t/ha; Maize intercrop>>Crotalaria..Maize intercrop yield was 2.64 t/ha; Maize intercrop>>Green gram..Maize intercrop yield was 2.47 t/ha; Maize intercrop>>Groundnut..Maize intercrop yield was 2.46 t/ha; Maize intercrop>>desmodium..Maize intercrop yield was 4.47 t/ha,Not collected in ERA,Not collected in ERA,NA
109,DK0130,Munjonji,10.2134/agronj2017.01.0037,South Africa,Limpopo University,-23.889,29.739,2015,Tropic - cool / semiarid,22.6,62.7,13.6,The mean annual precip at Limpopo University was 527 mm,Cowpea,The variety for Cowpea is IT00K-1263; The variety for Cowpea is IT 99K-1122; The variety for Cowpea is TVU 14632; The variety for Cowpea is TVU 4607,The base practices were Improved Varieties-Inorganic Fertilizer,"This experiment tested SSIT1, SSIT2, SSTV1, and SSTV2 against WWIT1, MWIT1, MSIT1, WWIT2, MWIT2, MSIT2, WWTV1, MWTV1, MSTV1, WWTV2, MWTV2, and MSTV2.",Supplemental Irrigation,No,NA,100,Randomized complete block design with 4 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,SSIT1 yield was 1.08 t/ha; SSIT2 yield was 0.94 t/ha; SSTV1 yield was 1.18 t/ha; SSTV2 yield was 1.29 t/ha,MSIT1 yield was 1.75 t/ha; MSIT2 yield was 1.39 t/ha; MSTV1 yield was 1.35 t/ha; MSTV2 yield was 1.52 t/ha; MWIT1 yield was 1.86 t/ha; MWIT2 yield was 1.8 t/ha; MWTV1 yield was 1.49 t/ha; MWTV2 yield was 1.75 t/ha; WWIT1 yield was 2.13 t/ha; WWIT2 yield was 2.56 t/ha; WWTV1 yield was 2 t/ha; WWTV2 yield was 2.3 t/ha,Not collected in ERA,Not collected in ERA,NA
110,DK0148,Rusinamhodzi,10.1016/j.fcr.2016.12.001,Tanzania,"Agricultural Research Institute, Ilonga",-9.0343,36.8467,2012;2013;2014;2015;2012.2015,Tropic - warm / subhumid,31.3,54,14.8,"The mean annual precip at Agricultural Research Institute, Ilonga was 1226 mm",Pigeon Pea; Maize-Pigeon Pea,The variety for Maize is Stuka 1; The variety for Pigeon Pea is Tumia,"The base practices were Improved Varieties-Inorganic Fertilizer, Improved Varieties-Inorganic Fertilizer-Mulch-Reduced Tillage, and Improved Varieties-Inorganic Fertilizer-Intercropping. The experiment was rainfed","This experiment tested CP+sole maize, CA+sole maize, CP+intercrop-maize>>CP+intercrop-maize..CP+intercrop-pigeon, CP+intercrop30-maize>>CP+intercrop30-maize..CP+intercrop30-pigeon, CP+intercrop60-maize>>CP+intercrop60-maize..CP+intercrop60-pigeon, CP+sole Pigeon, CA+sole Pigeon, CP+intercrop-pigeon>>CP+intercrop-maize..CP+intercrop-pigeon, CP+intercrop30-pigeon>>CP+intercrop30-maize..CP+intercrop30-pigeon, CP+intercrop60-pigeon>>CP+intercrop60-maize..CP+intercrop60-pigeon, CA+intercrop-maize..CA+intercrop-pigeon, CA+intercrop30-maize..CA+intercrop30-pigeon, CA+intercrop60-maize..CA+intercrop60-pigeon, CP+intercrop-maize..CP+intercrop-pigeon, CP+intercrop30-maize..CP+intercrop30-pigeon, and CP+intercrop60-maize..CP+intercrop60-pigeon against CA+intercrop-maize>>CA+intercrop-maize..CA+intercrop-pigeon, CA+intercrop30-maize>>CA+intercrop30-maize..CA+intercrop30-pigeon, CA+intercrop60-maize>>CA+intercrop60-maize..CA+intercrop60-pigeon, CA+intercrop-pigeon>>CA+intercrop-maize..CA+intercrop-pigeon, CA+intercrop30-pigeon>>CA+intercrop30-maize..CA+intercrop30-pigeon, and CA+intercrop60-pigeon>>CA+intercrop60-maize..CA+intercrop60-pigeon.",Mulch-Reduced Tillage; Intercropping; Intercropping-Mulch-Reduced Tillage,"Yes, the experiment was done in 4 seasons",NA,45,Split plot with 3 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,CA+sole Pigeon yield was 1.15 t/ha; CA+sole maize yield was 2.35 t/ha; CP+intercrop-maize>>CP+intercrop-maize..CP+intercrop-pigeon yield was 2.5 t/ha; CP+intercrop-pigeon>>CP+intercrop-maize..CP+intercrop-pigeon yield was 0.95 t/ha; CP+intercrop30-maize>>CP+intercrop30-maize..CP+intercrop30-pigeon yield was 3.1 t/ha; CP+intercrop30-pigeon>>CP+intercrop30-maize..CP+intercrop30-pigeon yield was 1.05 t/ha; CP+intercrop60-maize>>CP+intercrop60-maize..CP+intercrop60-pigeon yield was 2.35 t/ha; CP+intercrop60-pigeon>>CP+intercrop60-maize..CP+intercrop60-pigeon yield was 1.35 t/ha; CP+sole Pigeon yield was 1.3 t/ha; CP+sole maize yield was 2.65 t/ha,CA+intercrop-maize>>CA+intercrop-maize..CA+intercrop-pigeon yield was 2.2 t/ha; CA+intercrop-pigeon>>CA+intercrop-maize..CA+intercrop-pigeon yield was 0.85 t/ha; CA+intercrop30-maize>>CA+intercrop30-maize..CA+intercrop30-pigeon yield was 3.05 t/ha; CA+intercrop30-pigeon>>CA+intercrop30-maize..CA+intercrop30-pigeon yield was 1.25 t/ha; CA+intercrop60-maize>>CA+intercrop60-maize..CA+intercrop60-pigeon yield was 2.65 t/ha; CA+intercrop60-pigeon>>CA+intercrop60-maize..CA+intercrop60-pigeon yield was 1.3 t/ha; CA+sole Pigeon yield was 1.15 t/ha; CA+sole maize yield was 2.35 t/ha; CP+intercrop-maize>>CP+intercrop-maize..CP+intercrop-pigeon yield was 2.5 t/ha; CP+intercrop-pigeon>>CP+intercrop-maize..CP+intercrop-pigeon yield was 0.95 t/ha,Not collected in ERA,Not collected in ERA,Error type reported was SD (Standard Deviation): CA+intercrop-maize 0.25; CA+intercrop-pigeon 0.125; CA+intercrop30-maize 0.35; CA+intercrop30-pigeon 0.25; CA+intercrop60-maize 0.6; CA+intercrop60-pigeon 0.2; CA+sole Pigeon 0.175; CA+sole maize 0.425; CP+intercrop-maize 0.3; CP+intercrop-pigeon 0.2; CP+intercrop30-maize 0.55; CP+intercrop30-pigeon 0.3; CP+intercrop60-maize 0.4; CP+intercrop60-pigeon 0.2; CP+sole Pigeon 0.15; CP+sole maize 0.45
111,DM0003,Oyeogbe,10.17170/kobra-202011192213,Nigeria,Troical rainforest,8.92787,4.86427,2018,Tropic - warm / subhumid,18.7,60.6,18.6,The mean annual precip at Troical rainforest was 1114 mm,Cowpea-Maize; Groundnut-Maize,NA,The base practices were Inorganic Fertilizer. The experiment was rainfed,"This experiment tested Sole maize against Intercrop maize>>Intercrop cowpea***Intercrop maize, Intercrop maize>>Intercrop Groundnut***Intercrop maize, Intercrop maize>>Intercrop maize***Intercrop sweet potatoe, Intercrop cowpea***Intercrop maize, Intercrop Groundnut***Intercrop maize, and Intercrop maize***Intercrop sweet potatoe.",Intercropping,No,NA,NA,randomised design with 4 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,Sole maize yield was 2.4 t/ha,Intercrop maize>>Intercrop Groundnut***Intercrop maize yield was 1.48 t/ha; Intercrop maize>>Intercrop cowpea***Intercrop maize yield was 1.54 t/ha; Intercrop maize>>Intercrop maize***Intercrop sweet potatoe yield was 1.94 t/ha,Not collected in ERA,Not collected in ERA,Error type reported was Grouped SD (Standard Deviation): Intercrop maize 0.74; Sole maize 0.355
112,DM0021,Amaral Castro,10.1590/S0100-204X2013000600013,Brazil,Lageado Experimental Farm-Universidade Estadual Paulista-Botucatu,-22.85,-48.38333,2006/07;2007;2007/08,NA,NaN,NaN,NaN,The mean annual precip at Lageado Experimental Farm-Universidade Estadual Paulista-Botucatu was 1380 mm,Soybean; Congo Grass-Maize-Soybean,The variety for Soybean is Kiroba; The variety for Maize is MM 98/3567,"The base practices were Improved Varieties-Inorganic Fertilizer-Silvopasture, Crop Rotation-Improved Varieties-Inorganic Fertilizer-Silvopasture, and Improved Varieties-Inorganic Fertilizer-pH Control-Silvopasture. The experiment was rainfed","This experiment tested Soybean control<<Control, Maize control<<Control, Control, and Slag against Soybean Limestone<<Limestone, Soybean Slag<<Slag, Maize Limestone<<Limestone, and Limestone.",pH Control; Crop Rotation,"Yes, the experiment was done in 2 seasons",NA,NA,Randomized complete block design with 16 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Closed Access,Maize control<<Control yield was 6.55 t/ha; Soybean control<<Control yield was 2.87 t/ha,Maize Limestone<<Limestone yield was 18.2 t/ha; Soybean Limestone<<Limestone yield was 3.43 t/ha; Soybean Slag<<Slag yield was 3.54 t/ha,Not collected in ERA,Not collected in ERA,NA
113,EO0001,Ayoola ,10.1080/03650340.2013.775422,Nigeria,"IAR&T, Ibadan",7.38,3.841,2006.2;2007.2,Tropic - warm / subhumid,19.3,62.2,15.3,"The mean annual precip at IAR&T, Ibadan was 1265 mm",Cowpea; Cowpea-Maize,The variety for Maize is ART/98-SW1; The variety for Cowpea is Ife Brown,"The base practices were , Crop Rotation, and Crop Rotation-Improved Varieties-Inorganic Fertilizer. The experiment was rainfed","This experiment tested No fertiliser- Maize<<No fert, No fertiliser-Cowpea<<No fert, No fert, and NPK against 2.5 IAR+TOBF-Maize<<2.5 IAR +TOBF, 2.5 OYO-OBF-Maize <<2.5 OYO-OBF, 2.5 DPW+NPK-Maize<<2.5 DPW + NPK, 5 IAR+TOBF-Maize<<5 IAR + TOBF, 5 OYO-OBF-Maize <<5 OYO-OBF, 5 DPW+NPK-Maize<<5 DPW + NPK, NPK-Maize <<NPK, 2.5 IAR+TOBF-Cowpea<<2.5 IAR +TOBF, 2.5 OYO-OBF-Cowpea<<2.5 OYO-OBF, 2.5 DPW+NPK-Cowpea<<2.5 DPW + NPK, 5 IAR+TOBF-Cowpea<<5 IAR + TOBF, 5 OYO-OBF-Cowpea<<5 OYO-OBF, 5 DPW+NPK-Cowpea<<5 DPW + NPK, NPK-Cowpea <<NPK, 2.5 IAR +TOBF, 2.5 OYO-OBF, 2.5 DPW + NPK, 5 IAR + TOBF, 5 OYO-OBF, and 5 DPW + NPK.",Improved Varieties-Inorganic Fertilizer-Organic Fertilizer; Improved Varieties-Inorganic Fertilizer; Organic Fertilizer,"Yes, the experiment was done in 2 seasons",NA,24,Randomized complete block with 3 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,No fertiliser- Maize<<No fert yield was 1.04 t/ha; No fertiliser-Cowpea<<No fert yield was 0.21 t/ha,2.5 DPW+NPK-Cowpea<<2.5 DPW + NPK yield was 0.61 t/ha; 2.5 DPW+NPK-Maize<<2.5 DPW + NPK yield was 3.06 t/ha; 2.5 IAR+TOBF-Cowpea<<2.5 IAR +TOBF yield was 0.46 t/ha; 2.5 IAR+TOBF-Maize<<2.5 IAR +TOBF yield was 2.85 t/ha; 2.5 OYO-OBF-Cowpea<<2.5 OYO-OBF yield was 0.42 t/ha; 2.5 OYO-OBF-Maize <<2.5 OYO-OBF yield was 2.54 t/ha; 5 DPW+NPK-Cowpea<<5 DPW + NPK yield was 0.73 t/ha; 5 DPW+NPK-Maize<<5 DPW + NPK yield was 3.64 t/ha; 5 IAR+TOBF-Cowpea<<5 IAR + TOBF yield was 0.68 t/ha; 5 IAR+TOBF-Maize<<5 IAR + TOBF yield was 3.63 t/ha; 5 OYO-OBF-Cowpea<<5 OYO-OBF yield was 0.45 t/ha; 5 OYO-OBF-Maize <<5 OYO-OBF yield was 2.79 t/ha; NPK-Cowpea <<NPK yield was 0.49 t/ha; NPK-Maize <<NPK yield was 3.58 t/ha,Not collected in ERA,Not collected in ERA,NA
114,EO0001,Ayoola ,10.1080/03650340.2013.775422,Nigeria,"IAR&T, Ibadan",7.38,3.841,2006.2;2007.2,Tropic - warm / subhumid,19.3,62.2,15.3,"The mean annual precip at IAR&T, Ibadan was 1265 mm",Cowpea; Cowpea-Maize,The variety for Maize is ART/98-SW1; The variety for Cowpea is Ife Brown,"The base practices were , Crop Rotation, and Crop Rotation-Improved Varieties-Inorganic Fertilizer. The experiment was rainfed","This experiment tested No fertiliser- Maize<<No fert, No fertiliser-Cowpea<<No fert, No fert, and NPK against 2.5 IAR+TOBF-Maize<<2.5 IAR +TOBF, 2.5 OYO-OBF-Maize <<2.5 OYO-OBF, 2.5 DPW+NPK-Maize<<2.5 DPW + NPK, 5 IAR+TOBF-Maize<<5 IAR + TOBF, 5 OYO-OBF-Maize <<5 OYO-OBF, 5 DPW+NPK-Maize<<5 DPW + NPK, NPK-Maize <<NPK, 2.5 IAR+TOBF-Cowpea<<2.5 IAR +TOBF, 2.5 OYO-OBF-Cowpea<<2.5 OYO-OBF, 2.5 DPW+NPK-Cowpea<<2.5 DPW + NPK, 5 IAR+TOBF-Cowpea<<5 IAR + TOBF, 5 OYO-OBF-Cowpea<<5 OYO-OBF, 5 DPW+NPK-Cowpea<<5 DPW + NPK, NPK-Cowpea <<NPK, 2.5 IAR +TOBF, 2.5 OYO-OBF, 2.5 DPW + NPK, 5 IAR + TOBF, 5 OYO-OBF, and 5 DPW + NPK.",Improved Varieties-Inorganic Fertilizer-Organic Fertilizer; Improved Varieties-Inorganic Fertilizer; Organic Fertilizer,"Yes, the experiment was done in 2 seasons",NA,24,Randomized complete block with 4 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,No fertiliser- Maize<<No fert yield was 1.04 t/ha; No fertiliser-Cowpea<<No fert yield was 0.21 t/ha,2.5 DPW+NPK-Cowpea<<2.5 DPW + NPK yield was 0.61 t/ha; 2.5 DPW+NPK-Maize<<2.5 DPW + NPK yield was 3.06 t/ha; 2.5 IAR+TOBF-Cowpea<<2.5 IAR +TOBF yield was 0.46 t/ha; 2.5 IAR+TOBF-Maize<<2.5 IAR +TOBF yield was 2.85 t/ha; 2.5 OYO-OBF-Cowpea<<2.5 OYO-OBF yield was 0.42 t/ha; 2.5 OYO-OBF-Maize <<2.5 OYO-OBF yield was 2.54 t/ha; 5 DPW+NPK-Cowpea<<5 DPW + NPK yield was 0.73 t/ha; 5 DPW+NPK-Maize<<5 DPW + NPK yield was 3.64 t/ha; 5 IAR+TOBF-Cowpea<<5 IAR + TOBF yield was 0.68 t/ha; 5 IAR+TOBF-Maize<<5 IAR + TOBF yield was 3.63 t/ha; 5 OYO-OBF-Cowpea<<5 OYO-OBF yield was 0.45 t/ha; 5 OYO-OBF-Maize <<5 OYO-OBF yield was 2.79 t/ha; NPK-Cowpea <<NPK yield was 0.49 t/ha; NPK-Maize <<NPK yield was 3.58 t/ha,Not collected in ERA,Not collected in ERA,NA
115,EO0002,Kuswantoro,10.17503/agrivita.v39i1.690,Madagascar,Ambohimangakely,-18.9,47.6,2014,Tropic - cool / humid,29.1,44.1,19.3,The mean annual precip at Ambohimangakely was 1376 mm,Soybean,The variety for Soybean is Argomulyo; The variety for Soybean is Burangrang; The variety for Soybean is FT10; The variety for Soybean is OC11; The variety for Soybean is Malady; The variety for Soybean is Argomulyo$$Burangrang$$FT10$$OC11$$Malady,The base practices were Inorganic Fertilizer-Organic Fertilizer. The experiment was rainfed,This experiment tested Arg+Till..Burg+Till..FT10+Till..OC11+Till..Mal+Till against Arg+No Till..Burg+No till..FT10+No till..OC11+No till..Mal+No till.,Reduced Tillage,No,NA,10,Randomized complete block with 1 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,Arg+Till..Burg+Till..FT10+Till..OC11+Till..Mal+Till yield was 1.1 t/ha,Arg+No Till..Burg+No till..FT10+No till..OC11+No till..Mal+No till yield was 0.83 t/ha,Not collected in ERA,Not collected in ERA,NA
116,EO0014,Ewansiha ,10.1080/03650340.2013.829565,Nigeria,"Ahmadu Bello University, Zaria",11.163,7.635,2008.2009,Tropic - warm / semiarid,24.4,49.9,25.2,"The mean annual precip at Ahmadu Bello University, Zaria was 1024 mm",Cowpea,The variety for Cowpea is IT 89KD-391; The variety for Cowpea is IT 99K-241-2; The variety for Maize is TZE Comp 5W; The variety for Maize is 2000 SYN EE; The variety for Maize is TZL COMP.1SYN,The base practices were Improved Varieties-Inorganic Fertilizer. The experiment was rainfed,"This experiment tested Sole cowpea -IT899, Sole cowpea-IT99, IT89KD-391, and IT99K-241-2 against IT89KD-391>>Extra early maize..IT89KD-391, IT89KD-391>>Early Maize..IT89KD-391, IT89KD-391>>IT89KD-391..Late Maize, IT99K-241-2>>Extra early maize..IT99K-241-2, IT99K-241-2>>Early Maize..IT99K-241-2, and IT99K-241-2>>IT99K-241-2..Late Maize.",Intercropping,No,NA,15,Randomized complete block with 3 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,IT89KD-391 yield was 2.38 t/ha; IT99K-241-2 yield was 3.32 t/ha; Sole cowpea -IT899 yield was 1.41 t/ha; Sole cowpea-IT99 yield was 1.75 t/ha,IT89KD-391>>Early Maize..IT89KD-391 yield was 1.04 t/ha; IT89KD-391>>Extra early maize..IT89KD-391 yield was 1.11 t/ha; IT89KD-391>>IT89KD-391..Late Maize yield was 0.92 t/ha; IT99K-241-2>>Early Maize..IT99K-241-2 yield was 1.4 t/ha; IT99K-241-2>>Extra early maize..IT99K-241-2 yield was 1.47 t/ha; IT99K-241-2>>IT99K-241-2..Late Maize yield was 1.1 t/ha,Not collected in ERA,Not collected in ERA,NA
