PrName,Out.SubInd,Product.Simple,Observations,Studies
Multistrata Agroforestry-Solo,Belowground Carbon Biomass,Coffee,2,2
Improved Varieties-Solo,Crop Yield,Maize,260,2
pH Control-Solo,Crop Yield,Common Bean,52,2
Crop Rotation-Solo,Crop Yield,Common Bean,5,2
Reduced Tillage-Solo,Soil Organic Carbon,Wheat,12,2
Organic Fertilizer-Solo,Crop Yield,Common Bean,5,2
Reduced Tillage-Solo,Soil Moisture,Wheat,1236,2
Supplemental Irrigation-Solo,Crop Yield,Maize,44,2
Crop Residue-Reduced Tillage-Solo,Crop Yield,Maize,42,2
Agroforestry Pruning-Multistrata Agroforestry-Solo,Biodiversity,Coffee,14,2
Mulch-Reduced Tillage-Solo,Crop Yield,Common Bean,3,2
Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Maize,4,2
Inorganic Fertilizer-Mulch-Solo,Crop Yield,Maize,31,2
Crop Residue Incorporation-Crop Rotation-Solo,Crop Yield,Maize,6,2
Crop Rotation-Mulch-Reduced Tillage-Solo,Crop Yield,Maize,14,2
Crop Rotation-Inorganic Fertilizer-Solo,Crop Yield,Wheat,6,2
Mulch-Reduced Tillage-Solo,Soil Moisture,Maize,6,2
Reduced Tillage-Solo,Soil Moisture,Maize,4,2
Crop Residue Incorporation-Solo,Crop Yield,Maize,13,2
Crop Residue Incorporation-Solo,Crop Yield,Wheat,11,2
Crop Residue-Solo,Crop Yield,Maize,49,2
Reduced Tillage-Solo,Biomass Yield,Oats,56,2
Organic Fertilizer-Combo,Crop Yield,Common Bean,5,2
Inorganic Fertilizer-Combo,Crop Yield,Sorghum,14,2
Inorganic Fertilizer-Combo,Biomass Yield,Sorghum,22,2
Intercropping-Combo,Biomass Yield,Maize,22,2
Intercropping-Combo,Soil Nitrogen,Maize,22,2
Mulch-Combo,Crop Yield,Soybean,20,2
Mulch-Combo,Crop Yield,Common Bean,6,2
Mulch-Combo,Soil Moisture,Maize,23,2
Reduced Tillage-Combo,Soil Moisture,Maize,9,2
Improved Fallow-Combo,Biomass Yield,Maize,24,2
Improved Fallow-Combo,Crop Yield,Maize,18,2
Improved Fallow-Combo,Soil Nitrogen,Maize,22,2
Multistrata Agroforestry-Combo,Biodiversity,Coffee,14,2
Agroforestry Pruning-Combo,Biodiversity,Coffee,14,2
pH Control-Combo,Crop Yield,Soybean,10,2
Organic Fertilizer-Solo,Crop Yield,Capsicum,6,1
Harvest Method-Intercropping-Mulch-Solo,Crop Yield,Maize,9,1
Harvest Method-Intercropping-Mulch-Solo,Cation Exchange Capacity,Maize-Natural Fallow,12,1
Inorganic Fertilizer-Solo,Crop Yield,Coffee,4,1
Crop Rotation-Intercropping-Reduced Tillage-Solo,Crop Yield,Maize,1,1
Crop Rotation-Reduced Tillage-Solo,Crop Yield,Cotton,1,1
Double Cropping-Solo,Nitrous Oxide Emissions,Maize-Soybean,99,1
Double Cropping-Solo,Soil NH4,Maize-Soybean,110,1
Double Cropping-Solo,Soil NO3,Maize-Soybean,90,1
Intercropping-Solo,Soil Total Nitrogen,Maize,6,1
Intercropping-Solo,Crop Yield,Coffee,2,1
Supplemental Irrigation-Solo,Crop Yield,Coffee,2,1
Intercropping-Supplemental Irrigation-Solo,Crop Yield,Coffee,1,1
Intercropping-Solo,Soil Moisture,Coffee-Urochloa decumbens,2,1
Intercropping-Solo,Soil Total Nitrogen,Coffee-Urochloa decumbens,4,1
Crop Residue Incorporation-Mulch-Reduced Tillage-Solo,Crop Yield,Cabbage,1,1
Reduced Tillage-Solo,Crop Yield,Cabbage,2,1
Reduced Tillage-Solo,Soil Organic Carbon,Maize-Velvet Bean,2,1
Improved Fallow-Inorganic Fertilizer-Solo,Biomass Yield,Maize,2,1
Improved Fallow-Inorganic Fertilizer-Intercropping-Solo,Biomass Yield,Maize,2,1
Double Cropping-Solo,Crop Yield,Maize,1,1
Agroforestry Pruning-Mulch-Solo,Crop Yield,Maize,4,1
Agroforestry Pruning-Mulch-pH Control-Solo,Crop Yield,Maize,2,1
Mulch-Solo,Soil Moisture,Yacon,36,1
Mulch-Solo,Crop Yield,Yacon,6,1
Mulch-Solo,Biomass Yield,Yacon,12,1
Inorganic Fertilizer-Solo,Biomass Yield,Palisade Grass,4,1
Inorganic Fertilizer-Solo,Biomass Yield,Guinea Grass,4,1
Inorganic Fertilizer-Solo,Total Cost,Wheat,32,1
Inorganic Fertilizer-Solo,Gross Return,Wheat,64,1
Inorganic Fertilizer-pH Control-Solo,Crop Yield,Wheat,32,1
Inorganic Fertilizer-Solo,Crop Residue Yield,Sugar Cane,4,1
Inorganic Fertilizer-Solo,Crop Yield,Sugar Cane,4,1
Multistrata Agroforestry-Solo,Labour Person Hours,Coffee,1,1
Crop Residue Incorporation-Solo,Crop Yield,Common Bean,4,1
Crop Residue Incorporation-Reduced Tillage-Solo,Crop Yield,Common Bean,2,1
Crop Residue Incorporation-Solo,Crop Residue Yield,Common Bean,4,1
Reduced Tillage-Solo,Crop Residue Yield,Common Bean,4,1
Crop Residue Incorporation-Reduced Tillage-Solo,Crop Residue Yield,Common Bean,2,1
Other Agroforestry-Solo,Biodiversity,Coffee,16,1
Intercropping-Solo,Erosion,Maize,1,1
Improved Varieties-Intercropping-Solo,Erosion,Maize,1,1
Intercropping-Mulch-Solo,Crop Yield,Maize,14,1
Deficit Irrigation-Solo,Biomass Yield,Common Bean,24,1
Deficit Irrigation-Solo,Crop Yield,Common Bean,24,1
Deficit Irrigation-Solo,Water Use Efficiency,Common Bean,24,1
Deficit Irrigation-Solo,Soil Moisture,Common Bean,72,1
Deficit Irrigation-Solo,Water Use Efficiency,Chamomile,16,1
Deficit Irrigation-Solo,Biomass Yield,Chamomile,18,1
Improved Fallow-Solo,Soil Total Nitrogen,Congo Grass-Cotton-Pearl Millet,36,1
Improved Fallow-Solo,Soil NH4,Congo Grass-Cotton-Pearl Millet,72,1
Improved Fallow-Solo,Soil NO3,Congo Grass-Cotton-Pearl Millet,72,1
Supplemental Irrigation-Solo,Crop Yield,Macadamia,10,1
Multistrata Agroforestry-Supplemental Irrigation-Solo,Crop Yield,Macadamia,5,1
Supplemental Irrigation-Solo,Total Cost,Macadamia,8,1
Supplemental Irrigation-Solo,Gross Return,Macadamia,10,1
Multistrata Agroforestry-Solo,Gross Return,Macadamia,10,1
Multistrata Agroforestry-Supplemental Irrigation-Solo,Gross Return,Macadamia,5,1
Supplemental Irrigation-Solo,Gross Return,Arabica,5,1
Supplemental Irrigation-Solo,Net Return,Macadamia,8,1
Supplemental Irrigation-Solo,Total Cost,Arabica-Macadamia,8,1
Supplemental Irrigation-Solo,Net Return,Arabica-Macadamia,8,1
Multistrata Agroforestry-Solo,Total Cost,Coffee-Macadamia,60,1
Multistrata Agroforestry-Solo,Variable Cost,Coffee-Macadamia,60,1
Multistrata Agroforestry-Solo,Gross Return,Coffee-Macadamia,10,1
Multistrata Agroforestry-Solo,Total Cost,Arabica-Macadamia,60,1
Multistrata Agroforestry-Solo,Gross Return,Arabica-Macadamia,60,1
Multistrata Agroforestry-Solo,Fixed Cost,Macadamia,30,1
Multistrata Agroforestry-Solo,Variable Cost,Macadamia,6,1
Inorganic Fertilizer-Multistrata Agroforestry-pH Control-Solo,Variable Cost,Arabica-Macadamia,47,1
Inorganic Fertilizer-Multistrata Agroforestry-Solo,Variable Cost,Arabica-Macadamia,141,1
Inorganic Fertilizer-Multistrata Agroforestry-pH Control-Solo,Total Cost,Arabica-Macadamia,47,1
Inorganic Fertilizer-Multistrata Agroforestry-Solo,Total Cost,Arabica-Macadamia,141,1
Inorganic Fertilizer-Multistrata Agroforestry-pH Control-Solo,Gross Return,Arabica-Macadamia,48,1
Inorganic Fertilizer-Multistrata Agroforestry-Solo,Fixed Cost,Arabica-Macadamia,6,1
Other Agroforestry-Solo,Gross Return,Coffee,12,1
Other Agroforestry-Solo,Variable Cost,Coffee-Macadamia,21,1
Inorganic Fertilizer-Solo,Biomass Yield,Congo Grass,12,1
Intercropping-Solo,Soil Organic Carbon,Guinea Grass-Soybean,1,1
Intercropping-Solo,Soil Organic Carbon,Congo Grass-Soybean,1,1
Inorganic Fertilizer-Solo,Soil NH4,Maize,45,1
Inorganic Fertilizer-Solo,Soil NO3,Maize,47,1
Biochar-Solo,Biomass Yield,Maize,4,1
Biochar-Inorganic Fertilizer-Organic Fertilizer-Solo,Biomass Yield,Maize,4,1
Inorganic Fertilizer-Organic Fertilizer-Solo,Biomass Yield,Maize,8,1
pH Control-Solo,Biomass Yield,Groundnut,3,1
pH Control-Solo,Crop Yield,Groundnut,3,1
pH Control-Solo,Biomass Yield,Oats,3,1
pH Control-Solo,Aboveground Carbon Biomass,Palisade Grass,24,1
pH Control-Solo,Total Cost,Groundnut,6,1
pH Control-Solo,Total Cost,Oats,6,1
pH Control-Solo,Total Cost,Maize,6,1
pH Control-Solo,Total Cost,Palisade Grass,6,1
pH Control-Solo,Gross Return,Groundnut,6,1
pH Control-Solo,Gross Return,Oats,6,1
pH Control-Solo,Gross Return,Maize,6,1
pH Control-Solo,Gross Return,Palisade Grass,6,1
pH Control-Solo,Net Return,Groundnut,6,1
pH Control-Solo,Net Return,Oats,6,1
pH Control-Solo,Net Return,Maize,6,1
pH Control-Solo,Net Return,Palisade Grass,6,1
Crop Rotation-Solo,Soil Organic Matter,Congo Grass-Maize-Soybean,18,1
Intercropping-Solo,Gross Return,Soybean,8,1
Improved Varieties-Solo,Crop Yield,Common Bean,1,1
pH Control-Solo,Biomass Yield,Soybean,2,1
pH Control-Solo,Biomass Yield,Pearl Millet,4,1
pH Control-Solo,Biomass Yield,Pigeon Pea,2,1
Inorganic Fertilizer-Solo,Nitrogen Agronomic Efficiency,Common Bean,8,1
Intercropping-Solo,Crop Yield,Sorghum,8,1
Inorganic Fertilizer-Intercropping-Solo,Crop Yield,Sorghum,6,1
Inorganic Fertilizer-Solo,Total Cost,Sorghum,9,1
Intercropping-Solo,Total Cost,Sorghum,8,1
Inorganic Fertilizer-Intercropping-Solo,Total Cost,Sorghum,6,1
Inorganic Fertilizer-Solo,Gross Return,Sorghum,9,1
Intercropping-Solo,Gross Return,Sorghum,8,1
Inorganic Fertilizer-Intercropping-Solo,Gross Return,Sorghum,6,1
Inorganic Fertilizer-Solo,Net Return,Sorghum,9,1
Intercropping-Solo,Net Return,Sorghum,8,1
Inorganic Fertilizer-Intercropping-Solo,Net Return,Sorghum,6,1
Inorganic Fertilizer-Intercropping-Solo,Biomass Yield,Sorghum,6,1
Crop Rotation-Inorganic Fertilizer-Mulch-Solo,Crop Yield,Maize,3,1
Intercropping-Solo,Land Equivalent Ratio,Palisade Grass-Sorghum,4,1
Intercropping-Solo,Land Equivalent Ratio,Guinea Grass-Sorghum,4,1
pH Control-Solo,Crop Yield,Coffee,20,1
pH Control-Solo,Crop Yield,Arabica,25,1
pH Control-Solo,Gross Return,Arabica,5,1
Crop Residue Incorporation-Mulch-Reduced Tillage-Solo,Crop Yield,Maize,11,1
Crop Residue Incorporation-Crop Rotation-Mulch-Reduced Tillage-Solo,Crop Yield,Maize,10,1
Crop Residue Incorporation-Mulch-Reduced Tillage-Solo,Crop Yield,Soybean,16,1
Crop Residue Incorporation-Crop Rotation-Mulch-Reduced Tillage-Solo,Crop Yield,Soybean,2,1
Crop Rotation-Solo,Crop Yield,Soybean,81,1
Organic Fertilizer-Solo,Crop Yield,Soybean,12,1
Organic Fertilizer-pH Control-Solo,Crop Yield,Soybean,8,1
pH Control-Solo,Cation Exchange Capacity,Soybean,12,1
Organic Fertilizer-Solo,Cation Exchange Capacity,Soybean,12,1
Organic Fertilizer-pH Control-Solo,Cation Exchange Capacity,Soybean,8,1
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,Crop Yield,Wheat,1,1
Inorganic Fertilizer-Organic Fertilizer-Solo,Soil Carbon Stocks,Maize,5,1
Inorganic Fertilizer-Solo,Soil Carbon Stocks,Wheat,2,1
Organic Fertilizer-Solo,Soil Carbon Stocks,Wheat,1,1
Inorganic Fertilizer-Organic Fertilizer-Solo,Soil Carbon Stocks,Wheat,5,1
Multistrata Agroforestry-Solo,Biomass Yield,Coffee,2,1
Improved Varieties-Multistrata Agroforestry-Solo,Soil Carbon Stocks,Coffee-Rubber,4,1
Improved Varieties-Multistrata Agroforestry-Solo,Soil Organic Carbon,Coffee-Rubber,4,1
Inorganic Fertilizer-Solo,Phosphorus Agronomic Efficiency,Maize,36,1
Organic Fertilizer-Solo,Biomass Yield,Oats,15,1
pH Control-Solo,Crop Yield,Barley,3,1
Inorganic Fertilizer-Solo,Crop Yield,Black oats,12,1
Mulch-pH Control-Solo,Crop Yield,Maize,1,1
Mulch-Solo,Crop Yield,Soybean,4,1
Mulch-pH Control-Solo,Crop Yield,Soybean,2,1
pH Control-Solo,Biomass Yield,Black oats,108,1
Inorganic Fertilizer-pH Control-Solo,Biomass Yield,Black oats,81,1
Crop Rotation-Solo,Crop Yield,Barley,4,1
Crop Rotation-pH Control-Solo,Crop Yield,Common Bean,4,1
Reduced Tillage-Solo,Soil Organic Carbon,Natural Fallow,6,1
Reduced Tillage-Solo,Soil Organic Carbon,Hairy Vetch,6,1
Reduced Tillage-Solo,Soil Organic Carbon,Radish,6,1
Reduced Tillage-Solo,Soil Organic Carbon,Black oats,6,1
Reduced Tillage-Solo,Soil Organic Carbon,Blue Lupin,6,1
Improved Fallow-Solo,Soil Organic Carbon,Maize,48,1
Alleycropping-Crop Rotation-Solo,Crop Yield,Common Bean,4,1
Inorganic Fertilizer-Organic Fertilizer-Solo,Biomass Yield,Common Bean,2,1
Organic Fertilizer-Solo,Biomass Yield,Common Bean,1,1
Inorganic Fertilizer-Solo,Biomass Yield,Common Bean,2,1
Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Common Bean,2,1
Reduced Tillage-Solo,Biomass Yield,Hairy Vetch,2,1
Reduced Tillage-Solo,Crop Yield,Sorghum,1,1
Reduced Tillage-Solo,Biomass Yield,Wheat,1,1
Inorganic Fertilizer-Solo,Biomass Yield,Wheat,30,1
Reduced Tillage-Solo,Carbon Dioxide Emissions,Wheat,1782,1
Reduced Tillage-Solo,Carbon Dioxide Emissions,Soybean,830,1
Crop Rotation-Solo,Carbon Dioxide Emissions,Soybean,364,1
Reduced Tillage-Solo,Soil Moisture,Soybean,553,1
Crop Rotation-Solo,Soil Moisture,Soybean,207,1
Supplemental Irrigation-Solo,Water Use Efficiency,Maize,40,1
Organic Fertilizer-Solo,Soil Total Nitrogen,Maize,3,1
Inorganic Fertilizer-Solo,Soil Total Nitrogen,Maize,1,1
Organic Fertilizer-Solo,Biomass Yield,Maize,6,1
Organic Fertilizer-Solo,Biomass Yield,Black oats,3,1
Organic Fertilizer-Solo,Nitrogen Agronomic Efficiency (AGB),Maize,3,1
Inorganic Fertilizer-Solo,Nitrogen Agronomic Efficiency (AGB),Maize,1,1
Crop Rotation-Intercropping-Solo,Crop Yield,Maize,8,1
Crop Rotation-Inorganic Fertilizer-Intercropping-Solo,Crop Yield,Maize,4,1
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,Crop Yield,Maize,1,1
Reduced Tillage-Solo,Crop Yield,Melon,14,1
Inorganic Fertilizer-Solo,Crop Yield,Grape,16,1
Organic Fertilizer-Solo,Crop Yield,Grape,10,1
Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Grape,8,1
Parklands-Solo,Biomass Yield,Maize,1,1
Parklands-Solo,Crop Yield,Maize,1,1
Alleycropping-Solo,Crop Yield,Maize,4,1
Alleycropping-Solo,Variable Cost,Maize,4,1
Alleycropping-Solo,Gross Return,Maize,4,1
Alleycropping-Solo,Gross Margin,Maize,4,1
Inorganic Fertilizer-Solo,Biomass Yield,Napier Grass,15,1
Improved Varieties-Solo,Crop Yield,Passionfruit,18,1
Organic Fertilizer-Solo,Gross Return,Coffee,2,1
Inorganic Fertilizer-Solo,Gross Return,Coffee,2,1
Organic Fertilizer-Solo,Total Cost,Coffee,2,1
Inorganic Fertilizer-Solo,Total Cost,Coffee,2,1
Multistrata Agroforestry-Solo,Total Cost,Coffee,4,1
Organic Fertilizer-Solo,Fixed Cost,Coffee,2,1
Inorganic Fertilizer-Solo,Fixed Cost,Coffee,2,1
Multistrata Agroforestry-Solo,Fixed Cost,Coffee,4,1
Organic Fertilizer-Solo,Net Return,Coffee,2,1
Inorganic Fertilizer-Solo,Net Return,Coffee,2,1
Multistrata Agroforestry-Solo,Net Return,Coffee,4,1
Organic Fertilizer-Solo,Benefit Cost Ratio (NRTC),Coffee,2,1
Inorganic Fertilizer-Solo,Benefit Cost Ratio (NRTC),Coffee,2,1
Multistrata Agroforestry-Solo,Benefit Cost Ratio (NRTC),Coffee,4,1
Organic Fertilizer-Solo,Biomass Yield,Cowpea,1,1
Mulch-Solo,Biomass Yield,Cowpea,3,1
Mulch-Organic Fertilizer-Solo,Biomass Yield,Cowpea,1,1
Organic Fertilizer-Solo,Crop Yield,Cowpea,1,1
Mulch-Solo,Crop Yield,Cowpea,3,1
Mulch-Organic Fertilizer-Solo,Crop Yield,Cowpea,1,1
Inorganic Fertilizer-Solo,Biomass Yield,Cowpea,5,1
Inorganic Fertilizer-pH Control-Solo,Biomass Yield,Cowpea,5,1
pH Control-Solo,Biomass Yield,Cowpea,3,1
Inorganic Fertilizer-pH Control-Solo,Biomass Yield,Maize,5,1
Inorganic Fertilizer-Solo,Crop Yield,Cowpea,5,1
Inorganic Fertilizer-pH Control-Solo,Crop Yield,Cowpea,5,1
pH Control-Solo,Crop Yield,Cowpea,3,1
Inorganic Fertilizer-pH Control-Solo,Crop Yield,Maize,5,1
Inorganic Fertilizer-Solo,Biomass Yield,Cowpea-Maize,5,1
Inorganic Fertilizer-pH Control-Solo,Biomass Yield,Cowpea-Maize,5,1
pH Control-Solo,Biomass Yield,Cowpea-Maize,3,1
Agroforestry Pruning-Alleycropping-Solo,Biomass Yield,Sorghum,32,1
Agroforestry Pruning-Alleycropping-Inorganic Fertilizer-Solo,Biomass Yield,Sorghum,16,1
Agroforestry Pruning-Alleycropping-Solo,Crop Yield,Sorghum,16,1
Agroforestry Pruning-Alleycropping-Inorganic Fertilizer-Solo,Crop Yield,Sorghum,8,1
Organic Fertilizer-Solo,Crop Yield,Sweet Potato,10,1
Agroforestry Pruning-Organic Fertilizer-Solo,Biomass Yield,Sunflower,6,1
Agroforestry Pruning-Solo,Biomass Yield,Sunflower,4,1
Organic Fertilizer-Solo,Biomass Yield,Sunflower,2,1
Agroforestry Pruning-Organic Fertilizer-Solo,Crop Yield,Sunflower,6,1
Agroforestry Pruning-Solo,Crop Yield,Sunflower,4,1
Organic Fertilizer-Solo,Crop Yield,Sunflower,2,1
Agroforestry Pruning-Organic Fertilizer-Solo,Biomass Yield,Cotton,6,1
Agroforestry Pruning-Solo,Biomass Yield,Cotton,4,1
Organic Fertilizer-Solo,Biomass Yield,Cotton,2,1
Agroforestry Pruning-Organic Fertilizer-Solo,Crop Yield,Cotton,12,1
Agroforestry Pruning-Solo,Crop Yield,Cotton,8,1
Organic Fertilizer-Solo,Crop Yield,Cotton,4,1
Intercropping-Solo,Biomass Yield,Opuntia stricta,10,1
Intercropping-Solo,Water Use Efficiency,Opuntia stricta,5,1
Biochar-Solo,Soil Moisture,Common Bean,18,1
Organic Fertilizer-Solo,Soil Moisture,Common Bean,12,1
Biochar-Organic Fertilizer-Solo,Soil Moisture,Common Bean,9,1
Biochar-Solo,Soil Organic Carbon,Common Bean,6,1
Organic Fertilizer-Solo,Soil Organic Carbon,Common Bean,4,1
Biochar-Organic Fertilizer-Solo,Soil Organic Carbon,Common Bean,3,1
Biochar-Solo,Crop Yield,Common Bean,6,1
Biochar-Organic Fertilizer-Solo,Crop Yield,Common Bean,3,1
Biochar-Solo,Water Use Efficiency,Common Bean,6,1
Organic Fertilizer-Solo,Water Use Efficiency,Common Bean,4,1
Biochar-Organic Fertilizer-Solo,Water Use Efficiency,Common Bean,3,1
Biochar-Solo,Gross Return,Common Bean,6,1
Organic Fertilizer-Solo,Gross Return,Common Bean,4,1
Biochar-Organic Fertilizer-Solo,Gross Return,Common Bean,3,1
Biochar-Solo,Cation Exchange Capacity,Common Bean,6,1
Organic Fertilizer-Solo,Cation Exchange Capacity,Common Bean,4,1
Biochar-Organic Fertilizer-Solo,Cation Exchange Capacity,Common Bean,3,1
Biochar-Solo,Total Cost (Unconfirmed),Common Bean,6,1
Organic Fertilizer-Solo,Total Cost (Unconfirmed),Common Bean,4,1
Biochar-Organic Fertilizer-Solo,Total Cost (Unconfirmed),Common Bean,3,1
Biochar-Solo,Net Return,Common Bean,6,1
Organic Fertilizer-Solo,Net Return,Common Bean,4,1
Biochar-Organic Fertilizer-Solo,Net Return,Common Bean,3,1
Mulch-Solo,Biodiversity,Cowpea,18,1
Mulch-Solo,Soil Moisture,Cowpea,3,1
Mulch-Solo,Soil Organic Matter,Cowpea,3,1
Mulch-Solo,Cation Exchange Capacity,Cowpea,3,1
Inorganic Fertilizer-Solo,Net Return,Maize,6,1
Crop Residue-Intercropping-Reduced Tillage-Solo,Crop Yield,Maize,4,1
Crop Residue-Intercropping-Solo,Crop Yield,Maize,2,1
Intercropping-Solo,Crop Yield,Cassava,8,1
Intercropping-Solo,Crop Yield,Cowpea,4,1
Multistrata Agroforestry-Solo,Biodiversity,Coffee-Natural Fallow,2,1
Agroforestry Pruning-Multistrata Agroforestry-Solo,Crop Yield,Coffee,1,1
Agroforestry Pruning-Multistrata Agroforestry-Solo,Soil Organic Carbon,Coffee,2,1
Agroforestry Pruning-Multistrata Agroforestry-Solo,Soil Total Nitrogen,Coffee,2,1
Multistrata Agroforestry-Solo,Soil Organic Carbon,Coffee,8,1
Multistrata Agroforestry-Solo,Soil Nitrogen,Coffee,12,1
Multistrata Agroforestry-Solo,Soil Carbon Stocks,Coffee,4,1
Double Cropping-Solo,Crop Yield,Coffee,12,1
Double Cropping-Solo,Biomass Yield,Coffee,4,1
Alleycropping-Solo,Nitrous Oxide Emissions,Coffee-Natural Fallow,100,1
Alleycropping-Solo,Carbon Dioxide Emissions,Coffee-Natural Fallow,100,1
Alleycropping-Solo,Methane Emissions,Coffee-Natural Fallow,100,1
Alleycropping-Solo,Soil Moisture,Coffee-Natural Fallow,80,1
Other Agroforestry-Parklands-Solo,Cation Exchange Capacity,Coffee-Natural Fallow,7,1
Other Agroforestry-Parklands-Solo,Nitrous Oxide Emissions,Coffee-Natural Fallow,81,1
