PrName,Out.SubInd,Product.Simple,Country,AEZ16simple,Observations,Studies
Reduced Tillage-Solo,Crop Yield,Soybean,Brazil,,85,3
Intercropping-Solo,Biomass Yield,Maize,Brazil,,15,3
Improved Fallow-Solo,Biomass Yield,Maize,Brazil,,52,3
Improved Fallow-Solo,Crop Yield,Maize,Brazil,,58,3
Multistrata Agroforestry-Solo,Crop Yield,Arabica,Brazil,,80,3
Inorganic Fertilizer-Intercropping-Solo,Crop Yield,Maize,Brazil,,20,3
Organic Fertilizer-Solo,Crop Yield,Maize,Brazil,,62,3
Multistrata Agroforestry-Solo,Gross Margin,Coffee-Natural Fallow,Brazil,,3,3
Multistrata Agroforestry-Solo,Labour Cost,Coffee-Natural Fallow,Brazil,,3,3
Multistrata Agroforestry-Solo,Soil Moisture,Coffee-Natural Fallow,Brazil,,6,3
Inorganic Fertilizer-Solo,Crop Residue Yield,Maize,Brazil,,70,3
Inorganic Fertilizer-Solo,Nitrous Oxide Emissions,Maize,Brazil,,26,3
pH Control-Solo,Biomass Yield,Maize,Brazil,,8,3
Inorganic Fertilizer-Solo,Biomass Yield,Sorghum,Brazil,,45,3
Crop Residue Incorporation-Inorganic Fertilizer-Solo,Crop Yield,Maize,Brazil,,15,3
Organic Fertilizer-Solo,Crop Yield,Maize,Mexico,,9,3
Inorganic Fertilizer-Solo,Crop Yield,Maize,Haiti,,62,3
Agroforestry Pruning-Solo,Crop Yield,Maize,Haiti,,6,3
Agroforestry Pruning-Inorganic Fertilizer-Solo,Crop Yield,Maize,Haiti,,9,3
Inorganic Fertilizer-Solo,Gross Margin,Maize,Haiti,,62,3
Agroforestry Pruning-Solo,Gross Margin,Maize,Haiti,,6,3
Agroforestry Pruning-Inorganic Fertilizer-Solo,Gross Margin,Maize,Haiti,,9,3
Organic Fertilizer-Combo,Crop Yield,Maize,Mexico,,9,3
Inorganic Fertilizer-Combo,Biomass Yield,Maize,Brazil,,21,3
Inorganic Fertilizer-Combo,Crop Yield,Maize,Haiti,,9,3
Inorganic Fertilizer-Combo,Gross Margin,Maize,Haiti,,9,3
Crop Rotation-Combo,Crop Yield,Wheat,Mexico,,31,3
Agroforestry Pruning-Combo,Crop Yield,Maize,Haiti,,9,3
Agroforestry Pruning-Combo,Gross Margin,Maize,Haiti,,9,3
pH Control-Combo,Crop Yield,Maize,Brazil,,8,3
Crop Rotation-Inorganic Fertilizer-Solo,Crop Yield,Maize,Brazil,,10,2
Reduced Tillage-Solo,Crop Yield,Maize,Brazil,,17,2
Reduced Tillage-Solo,Crop Yield,Common Bean,Brazil,,7,2
Improved Fallow-Intercropping-Solo,Biomass Yield,Maize,Brazil,,20,2
Improved Fallow-Intercropping-Solo,Crop Yield,Maize,Brazil,,18,2
Improved Fallow-Solo,Soil Nitrogen,Maize,Brazil,,24,2
Improved Fallow-Intercropping-Solo,Soil Nitrogen,Maize,Brazil,,22,2
Intercropping-Solo,Biomass Yield,Sorghum,Brazil,,10,2
Inorganic Fertilizer-Solo,Variable Cost,Maize,Brazil,,38,2
Inorganic Fertilizer-Solo,Gross Return,Maize,Brazil,,134,2
Other Agroforestry-Solo,Crop Yield,Coffee,Brazil,,15,2
Supplemental Irrigation-Solo,Crop Yield,Arabica,Brazil,,80,2
Multistrata Agroforestry-Solo,Crop Yield,Macadamia,Brazil,,50,2
pH Control-Solo,Crop Residue Yield,Soybean,Brazil,,4,2
pH Control-Solo,Crop Residue Yield,Maize,Brazil,,3,2
pH Control-Solo,Crop Yield,Oats,Brazil,,9,2
Inorganic Fertilizer-Solo,Crop Yield,Sorghum,Brazil,,21,2
Reduced Tillage-Solo,Crop Yield,Wheat,Brazil,,40,2
Inorganic Fertilizer-Solo,Soil Carbon Stocks,Maize,Brazil,,3,2
Organic Fertilizer-Solo,Soil Carbon Stocks,Maize,Brazil,,4,2
Improved Varieties-Solo,Crop Yield,Maize,Brazil,,260,2
pH Control-Solo,Crop Yield,Common Bean,Brazil,,52,2
Organic Fertilizer-Solo,Crop Yield,Common Bean,Brazil,,5,2
Multistrata Agroforestry-Solo,Soil Moisture,Coffee-Natural Fallow,Costa Rica,,259,2
Agroforestry Pruning-Multistrata Agroforestry-Solo,Biodiversity,Coffee,Costa Rica,,14,2
Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Maize,Mexico,,4,2
Inorganic Fertilizer-Mulch-Solo,Crop Yield,Maize,Mexico,,31,2
Crop Residue Incorporation-Crop Rotation-Solo,Crop Yield,Maize,Mexico,,6,2
Crop Rotation-Mulch-Reduced Tillage-Solo,Crop Yield,Maize,Mexico,,14,2
Crop Rotation-Inorganic Fertilizer-Solo,Crop Yield,Wheat,Mexico,,6,2
Mulch-Reduced Tillage-Solo,Soil Moisture,Maize,Mexico,,6,2
Reduced Tillage-Solo,Soil Moisture,Maize,Mexico,,4,2
Crop Rotation-Solo,Crop Yield,Maize,Mexico,,26,2
Crop Residue Incorporation-Solo,Crop Yield,Maize,Mexico,,13,2
Mulch-Reduced Tillage-Solo,Crop Yield,Wheat,Mexico,,18,2
Reduced Tillage-Solo,Crop Yield,Wheat,Mexico,,16,2
Crop Residue Incorporation-Solo,Crop Yield,Wheat,Mexico,,11,2
Crop Residue-Solo,Crop Yield,Maize,Mexico,,49,2
Reduced Tillage-Solo,Biomass Yield,Oats,Mexico,,56,2
Organic Fertilizer-Combo,Crop Yield,Common Bean,Brazil,,5,2
Inorganic Fertilizer-Combo,Crop Yield,Wheat,Brazil,,33,2
Inorganic Fertilizer-Combo,Crop Yield,Sorghum,Brazil,,14,2
Inorganic Fertilizer-Combo,Biomass Yield,Sorghum,Brazil,,22,2
Inorganic Fertilizer-Combo,Crop Yield,Wheat,Mexico,,19,2
Intercropping-Combo,Biomass Yield,Maize,Brazil,,22,2
Intercropping-Combo,Soil Nitrogen,Maize,Brazil,,22,2
Mulch-Combo,Crop Yield,Soybean,Brazil,,20,2
Mulch-Combo,Soil Moisture,Maize,Mexico,,23,2
Mulch-Combo,Crop Yield,Wheat,Mexico,,30,2
Reduced Tillage-Combo,Soil Moisture,Maize,Mexico,,9,2
Reduced Tillage-Combo,Crop Yield,Wheat,Mexico,,31,2
Crop Rotation-Combo,Crop Yield,Common Bean,Brazil,,8,2
Crop Rotation-Combo,Crop Yield,Maize,Mexico,,32,2
Crop Residue Incorporation-Combo,Crop Yield,Maize,Mexico,,7,2
Improved Fallow-Combo,Biomass Yield,Maize,Brazil,,24,2
Improved Fallow-Combo,Crop Yield,Maize,Brazil,,18,2
Improved Fallow-Combo,Soil Nitrogen,Maize,Brazil,,22,2
Multistrata Agroforestry-Combo,Biodiversity,Coffee,Costa Rica,,14,2
Agroforestry Pruning-Combo,Biodiversity,Coffee,Costa Rica,,14,2
pH Control-Combo,Crop Yield,Soybean,Brazil,,10,2
Organic Fertilizer-Solo,Crop Yield,Capsicum,Ecuador,,6,1
Harvest Method-Intercropping-Mulch-Solo,Crop Yield,Maize,Brazil,,9,1
Harvest Method-Intercropping-Mulch-Solo,Cation Exchange Capacity,Maize-Natural Fallow,Brazil,,12,1
Inorganic Fertilizer-Solo,Crop Yield,Coffee,Brazil,,4,1
Crop Rotation-Intercropping-Reduced Tillage-Solo,Crop Yield,Maize,Brazil,,1,1
Crop Rotation-Reduced Tillage-Solo,Crop Yield,Cotton,Brazil,,1,1
Double Cropping-Solo,Nitrous Oxide Emissions,Maize-Soybean,Brazil,,99,1
Double Cropping-Solo,Soil NH4,Maize-Soybean,Brazil,,110,1
Double Cropping-Solo,Soil NO3,Maize-Soybean,Brazil,,90,1
Intercropping-Solo,Soil Total Nitrogen,Maize,Brazil,,6,1
Intercropping-Solo,Crop Yield,Coffee,Brazil,,2,1
Supplemental Irrigation-Solo,Crop Yield,Coffee,Brazil,,2,1
Intercropping-Supplemental Irrigation-Solo,Crop Yield,Coffee,Brazil,,1,1
Intercropping-Solo,Soil Moisture,Coffee-Urochloa decumbens,Brazil,,2,1
Intercropping-Solo,Soil Total Nitrogen,Coffee-Urochloa decumbens,Brazil,,4,1
Crop Residue Incorporation-Mulch-Reduced Tillage-Solo,Crop Yield,Cabbage,Brazil,,1,1
Reduced Tillage-Solo,Crop Yield,Cabbage,Brazil,,2,1
Reduced Tillage-Solo,Soil Organic Carbon,Maize-Velvet Bean,Brazil,,2,1
Intercropping-Solo,Crop Yield,Common Bean,Brazil,,2,1
Improved Fallow-Inorganic Fertilizer-Solo,Biomass Yield,Maize,Brazil,,2,1
Improved Fallow-Inorganic Fertilizer-Intercropping-Solo,Biomass Yield,Maize,Brazil,,2,1
Double Cropping-Solo,Crop Yield,Maize,Brazil,,1,1
Agroforestry Pruning-Mulch-Solo,Crop Yield,Maize,Brazil,,4,1
Agroforestry Pruning-Mulch-pH Control-Solo,Crop Yield,Maize,Brazil,,2,1
Mulch-Solo,Soil Moisture,Yacon,Brazil,,36,1
Mulch-Solo,Crop Yield,Yacon,Brazil,,6,1
Mulch-Solo,Biomass Yield,Yacon,Brazil,,12,1
Inorganic Fertilizer-Solo,Biomass Yield,Palisade Grass,Brazil,,4,1
Inorganic Fertilizer-Solo,Biomass Yield,Guinea Grass,Brazil,,4,1
Inorganic Fertilizer-Solo,Total Cost,Wheat,Brazil,,32,1
Inorganic Fertilizer-Solo,Gross Return,Wheat,Brazil,,64,1
Inorganic Fertilizer-pH Control-Solo,Crop Yield,Wheat,Brazil,,32,1
Inorganic Fertilizer-Solo,Crop Residue Yield,Sugar Cane,Brazil,,4,1
Inorganic Fertilizer-Solo,Crop Yield,Sugar Cane,Brazil,,4,1
Multistrata Agroforestry-Solo,Labour Person Hours,Coffee,Brazil,,1,1
Multistrata Agroforestry-Solo,Labour Person Hours,Coffee-Natural Fallow,Brazil,,1,1
Crop Residue Incorporation-Solo,Crop Yield,Common Bean,Brazil,,4,1
Crop Residue Incorporation-Reduced Tillage-Solo,Crop Yield,Common Bean,Brazil,,2,1
Crop Residue Incorporation-Solo,Crop Residue Yield,Common Bean,Brazil,,4,1
Reduced Tillage-Solo,Crop Residue Yield,Common Bean,Brazil,,4,1
Crop Residue Incorporation-Reduced Tillage-Solo,Crop Residue Yield,Common Bean,Brazil,,2,1
Other Agroforestry-Solo,Biodiversity,Coffee,Brazil,,16,1
Intercropping-Solo,Erosion,Maize,Brazil,,1,1
Improved Varieties-Intercropping-Solo,Erosion,Maize,Brazil,,1,1
Intercropping-Mulch-Solo,Crop Yield,Maize,Brazil,,14,1
Deficit Irrigation-Solo,Biomass Yield,Common Bean,Brazil,,24,1
Deficit Irrigation-Solo,Crop Yield,Common Bean,Brazil,,24,1
Deficit Irrigation-Solo,Water Use Efficiency,Common Bean,Brazil,,24,1
Deficit Irrigation-Solo,Soil Moisture,Common Bean,Brazil,,72,1
Deficit Irrigation-Solo,Water Use Efficiency,Chamomile,Brazil,,16,1
Deficit Irrigation-Solo,Biomass Yield,Chamomile,Brazil,,18,1
Improved Fallow-Solo,Soil Total Nitrogen,Congo Grass-Cotton-Pearl Millet,Brazil,,36,1
Improved Fallow-Solo,Soil NH4,Congo Grass-Cotton-Pearl Millet,Brazil,,72,1
Improved Fallow-Solo,Soil NO3,Congo Grass-Cotton-Pearl Millet,Brazil,,72,1
Multistrata Agroforestry-Solo,Gross Return,Coffee,Brazil,,48,1
Supplemental Irrigation-Solo,Crop Yield,Macadamia,Brazil,,10,1
Multistrata Agroforestry-Supplemental Irrigation-Solo,Crop Yield,Macadamia,Brazil,,5,1
Supplemental Irrigation-Solo,Total Cost,Macadamia,Brazil,,8,1
Supplemental Irrigation-Solo,Gross Return,Macadamia,Brazil,,10,1
Multistrata Agroforestry-Solo,Gross Return,Macadamia,Brazil,,10,1
Multistrata Agroforestry-Supplemental Irrigation-Solo,Gross Return,Macadamia,Brazil,,5,1
Supplemental Irrigation-Solo,Gross Return,Arabica,Brazil,,5,1
Supplemental Irrigation-Solo,Net Return,Macadamia,Brazil,,8,1
Supplemental Irrigation-Solo,Total Cost,Arabica-Macadamia,Brazil,,8,1
Supplemental Irrigation-Solo,Net Return,Arabica-Macadamia,Brazil,,8,1
Multistrata Agroforestry-Solo,Total Cost,Coffee-Macadamia,Brazil,,60,1
Multistrata Agroforestry-Solo,Variable Cost,Coffee-Macadamia,Brazil,,60,1
Multistrata Agroforestry-Solo,Gross Return,Coffee-Macadamia,Brazil,,10,1
Multistrata Agroforestry-Solo,Total Cost,Arabica-Macadamia,Brazil,,60,1
Multistrata Agroforestry-Solo,Gross Return,Arabica-Macadamia,Brazil,,60,1
Multistrata Agroforestry-Solo,Fixed Cost,Macadamia,Brazil,,30,1
Multistrata Agroforestry-Solo,Variable Cost,Macadamia,Brazil,,6,1
Inorganic Fertilizer-Multistrata Agroforestry-pH Control-Solo,Variable Cost,Arabica-Macadamia,Brazil,,47,1
Inorganic Fertilizer-Multistrata Agroforestry-Solo,Variable Cost,Arabica-Macadamia,Brazil,,141,1
Inorganic Fertilizer-Multistrata Agroforestry-pH Control-Solo,Total Cost,Arabica-Macadamia,Brazil,,47,1
Inorganic Fertilizer-Multistrata Agroforestry-Solo,Total Cost,Arabica-Macadamia,Brazil,,141,1
Inorganic Fertilizer-Multistrata Agroforestry-pH Control-Solo,Gross Return,Arabica-Macadamia,Brazil,,48,1
Inorganic Fertilizer-Multistrata Agroforestry-Solo,Fixed Cost,Arabica-Macadamia,Brazil,,6,1
Other Agroforestry-Solo,Gross Return,Coffee,Brazil,,12,1
Other Agroforestry-Solo,Variable Cost,Coffee-Macadamia,Brazil,,21,1
Inorganic Fertilizer-Solo,Biomass Yield,Congo Grass,Brazil,,12,1
Intercropping-Solo,Soil Organic Carbon,Guinea Grass-Soybean,Brazil,,1,1
Intercropping-Solo,Soil Organic Carbon,Congo Grass-Soybean,Brazil,,1,1
Inorganic Fertilizer-Solo,Nitrogen Agronomic Efficiency,Maize,Brazil,,16,1
Inorganic Fertilizer-Solo,Soil NH4,Maize,Brazil,,45,1
Inorganic Fertilizer-Solo,Soil NO3,Maize,Brazil,,47,1
Biochar-Solo,Biomass Yield,Maize,Brazil,,4,1
Biochar-Inorganic Fertilizer-Organic Fertilizer-Solo,Biomass Yield,Maize,Brazil,,4,1
Inorganic Fertilizer-Organic Fertilizer-Solo,Biomass Yield,Maize,Brazil,,8,1
pH Control-Solo,Biomass Yield,Groundnut,Brazil,,3,1
pH Control-Solo,Crop Yield,Groundnut,Brazil,,3,1
pH Control-Solo,Biomass Yield,Oats,Brazil,,3,1
pH Control-Solo,Aboveground Carbon Biomass,Palisade Grass,Brazil,,24,1
pH Control-Solo,Total Cost,Groundnut,Brazil,,6,1
pH Control-Solo,Total Cost,Oats,Brazil,,6,1
pH Control-Solo,Total Cost,Maize,Brazil,,6,1
pH Control-Solo,Total Cost,Palisade Grass,Brazil,,6,1
pH Control-Solo,Gross Return,Groundnut,Brazil,,6,1
pH Control-Solo,Gross Return,Oats,Brazil,,6,1
pH Control-Solo,Gross Return,Maize,Brazil,,6,1
pH Control-Solo,Gross Return,Palisade Grass,Brazil,,6,1
pH Control-Solo,Net Return,Groundnut,Brazil,,6,1
pH Control-Solo,Net Return,Oats,Brazil,,6,1
pH Control-Solo,Net Return,Maize,Brazil,,6,1
pH Control-Solo,Net Return,Palisade Grass,Brazil,,6,1
Crop Rotation-Solo,Soil Organic Matter,Congo Grass-Maize-Soybean,Brazil,,18,1
Intercropping-Solo,Crop Yield,Soybean,Brazil,,8,1
Intercropping-Solo,Gross Return,Soybean,Brazil,,8,1
Improved Varieties-Solo,Crop Yield,Common Bean,Brazil,,1,1
pH Control-Solo,Biomass Yield,Soybean,Brazil,,2,1
pH Control-Solo,Biomass Yield,Pearl Millet,Brazil,,4,1
pH Control-Solo,Biomass Yield,Pigeon Pea,Brazil,,2,1
Inorganic Fertilizer-Solo,Nitrogen Agronomic Efficiency,Common Bean,Brazil,,8,1
Intercropping-Solo,Crop Yield,Sorghum,Brazil,,8,1
Inorganic Fertilizer-Intercropping-Solo,Crop Yield,Sorghum,Brazil,,6,1
Inorganic Fertilizer-Solo,Total Cost,Sorghum,Brazil,,9,1
Intercropping-Solo,Total Cost,Sorghum,Brazil,,8,1
Inorganic Fertilizer-Intercropping-Solo,Total Cost,Sorghum,Brazil,,6,1
Inorganic Fertilizer-Solo,Gross Return,Sorghum,Brazil,,9,1
Intercropping-Solo,Gross Return,Sorghum,Brazil,,8,1
Inorganic Fertilizer-Intercropping-Solo,Gross Return,Sorghum,Brazil,,6,1
Inorganic Fertilizer-Solo,Net Return,Sorghum,Brazil,,9,1
Intercropping-Solo,Net Return,Sorghum,Brazil,,8,1
Inorganic Fertilizer-Intercropping-Solo,Net Return,Sorghum,Brazil,,6,1
Inorganic Fertilizer-Intercropping-Solo,Biomass Yield,Sorghum,Brazil,,6,1
Crop Rotation-Mulch-Solo,Crop Yield,Maize,Brazil,,4,1
Crop Rotation-Inorganic Fertilizer-Mulch-Solo,Crop Yield,Maize,Brazil,,3,1
Intercropping-Solo,Land Equivalent Ratio,Palisade Grass-Sorghum,Brazil,,4,1
Intercropping-Solo,Land Equivalent Ratio,Guinea Grass-Sorghum,Brazil,,4,1
pH Control-Solo,Crop Yield,Coffee,Brazil,,20,1
pH Control-Solo,Crop Yield,Arabica,Brazil,,25,1
pH Control-Solo,Gross Return,Arabica,Brazil,,5,1
Crop Residue Incorporation-Mulch-Reduced Tillage-Solo,Crop Yield,Maize,Brazil,,11,1
Crop Residue Incorporation-Crop Rotation-Mulch-Reduced Tillage-Solo,Crop Yield,Maize,Brazil,,10,1
Crop Residue Incorporation-Mulch-Reduced Tillage-Solo,Crop Yield,Soybean,Brazil,,16,1
Crop Residue Incorporation-Crop Rotation-Mulch-Reduced Tillage-Solo,Crop Yield,Soybean,Brazil,,2,1
Crop Rotation-Solo,Crop Yield,Soybean,Brazil,,81,1
Organic Fertilizer-Solo,Crop Yield,Soybean,Brazil,,12,1
Organic Fertilizer-pH Control-Solo,Crop Yield,Soybean,Brazil,,8,1
pH Control-Solo,Cation Exchange Capacity,Soybean,Brazil,,12,1
Organic Fertilizer-Solo,Cation Exchange Capacity,Soybean,Brazil,,12,1
Organic Fertilizer-pH Control-Solo,Cation Exchange Capacity,Soybean,Brazil,,8,1
Mulch-Reduced Tillage-Solo,Crop Yield,Wheat,Brazil,,2,1
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,Crop Yield,Wheat,Brazil,,1,1
Organic Fertilizer-Solo,Crop Yield,Wheat,Brazil,,2,1
Inorganic Fertilizer-Organic Fertilizer-Solo,Soil Carbon Stocks,Maize,Brazil,,5,1
Inorganic Fertilizer-Solo,Soil Carbon Stocks,Wheat,Brazil,,2,1
Organic Fertilizer-Solo,Soil Carbon Stocks,Wheat,Brazil,,1,1
Inorganic Fertilizer-Organic Fertilizer-Solo,Soil Carbon Stocks,Wheat,Brazil,,5,1
Multistrata Agroforestry-Solo,Aboveground Carbon Biomass,Coffee,Brazil,,1,1
Multistrata Agroforestry-Solo,Belowground Carbon Biomass,Coffee,Brazil,,1,1
Multistrata Agroforestry-Solo,Biomass Yield,Coffee,Brazil,,2,1
Improved Varieties-Multistrata Agroforestry-Solo,Soil Carbon Stocks,Coffee-Rubber,Brazil,,4,1
Improved Varieties-Multistrata Agroforestry-Solo,Soil Organic Carbon,Coffee-Rubber,Brazil,,4,1
Inorganic Fertilizer-Solo,Phosphorus Agronomic Efficiency,Maize,Brazil,,36,1
Organic Fertilizer-Solo,Biomass Yield,Oats,Brazil,,15,1
pH Control-Solo,Crop Yield,Barley,Brazil,,3,1
Inorganic Fertilizer-Solo,Crop Yield,Black oats,Brazil,,12,1
Mulch-Solo,Crop Yield,Maize,Brazil,,2,1
Mulch-pH Control-Solo,Crop Yield,Maize,Brazil,,1,1
Mulch-Solo,Crop Yield,Soybean,Brazil,,4,1
Mulch-pH Control-Solo,Crop Yield,Soybean,Brazil,,2,1
pH Control-Solo,Biomass Yield,Black oats,Brazil,,108,1
Inorganic Fertilizer-pH Control-Solo,Biomass Yield,Black oats,Brazil,,81,1
Crop Rotation-Solo,Crop Yield,Barley,Brazil,,4,1
Crop Rotation-Solo,Crop Yield,Common Bean,Brazil,,4,1
Crop Rotation-pH Control-Solo,Crop Yield,Common Bean,Brazil,,4,1
Crop Rotation-Solo,Crop Yield,Wheat,Brazil,,8,1
Reduced Tillage-Solo,Soil Organic Carbon,Natural Fallow,Brazil,,6,1
Reduced Tillage-Solo,Soil Organic Carbon,Hairy Vetch,Brazil,,6,1
Reduced Tillage-Solo,Soil Organic Carbon,Wheat,Brazil,,6,1
Reduced Tillage-Solo,Soil Organic Carbon,Radish,Brazil,,6,1
Reduced Tillage-Solo,Soil Organic Carbon,Black oats,Brazil,,6,1
Reduced Tillage-Solo,Soil Organic Carbon,Blue Lupin,Brazil,,6,1
Improved Fallow-Solo,Soil Organic Carbon,Maize,Brazil,,48,1
Alleycropping-Crop Rotation-Solo,Crop Yield,Common Bean,Brazil,,4,1
Inorganic Fertilizer-Organic Fertilizer-Solo,Biomass Yield,Common Bean,Brazil,,2,1
Organic Fertilizer-Solo,Biomass Yield,Common Bean,Brazil,,1,1
Inorganic Fertilizer-Solo,Biomass Yield,Common Bean,Brazil,,2,1
Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Common Bean,Brazil,,2,1
Reduced Tillage-Solo,Biomass Yield,Hairy Vetch,Brazil,,2,1
Reduced Tillage-Solo,Crop Yield,Sorghum,Brazil,,1,1
Reduced Tillage-Solo,Biomass Yield,Wheat,Brazil,,1,1
Inorganic Fertilizer-Solo,Biomass Yield,Wheat,Brazil,,30,1
Reduced Tillage-Solo,Carbon Dioxide Emissions,Wheat,Brazil,,1782,1
Reduced Tillage-Solo,Carbon Dioxide Emissions,Soybean,Brazil,,830,1
Crop Rotation-Solo,Carbon Dioxide Emissions,Soybean,Brazil,,364,1
Reduced Tillage-Solo,Soil Moisture,Wheat,Brazil,,1234,1
Reduced Tillage-Solo,Soil Moisture,Soybean,Brazil,,553,1
Crop Rotation-Solo,Soil Moisture,Soybean,Brazil,,207,1
Supplemental Irrigation-Solo,Crop Yield,Maize,Brazil,,40,1
Supplemental Irrigation-Solo,Water Use Efficiency,Maize,Brazil,,40,1
Organic Fertilizer-Solo,Soil Total Nitrogen,Maize,Brazil,,3,1
Inorganic Fertilizer-Solo,Soil Total Nitrogen,Maize,Brazil,,1,1
Organic Fertilizer-Solo,Biomass Yield,Maize,Brazil,,6,1
Organic Fertilizer-Solo,Biomass Yield,Black oats,Brazil,,3,1
Organic Fertilizer-Solo,Nitrogen Agronomic Efficiency (AGB),Maize,Brazil,,3,1
Inorganic Fertilizer-Solo,Nitrogen Agronomic Efficiency (AGB),Maize,Brazil,,1,1
Crop Rotation-Intercropping-Solo,Crop Yield,Maize,Brazil,,8,1
Crop Rotation-Inorganic Fertilizer-Intercropping-Solo,Crop Yield,Maize,Brazil,,4,1
Mulch-Reduced Tillage-Solo,Crop Yield,Maize,Brazil,,2,1
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,Crop Yield,Maize,Brazil,,1,1
Reduced Tillage-Solo,Crop Yield,Melon,Brazil,,14,1
Inorganic Fertilizer-Solo,Crop Yield,Grape,Brazil,,16,1
Organic Fertilizer-Solo,Crop Yield,Grape,Brazil,,10,1
Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Grape,Brazil,,8,1
Parklands-Solo,Biomass Yield,Maize,Brazil,,1,1
Parklands-Solo,Crop Yield,Maize,Brazil,,1,1
Alleycropping-Solo,Crop Yield,Maize,Brazil,,4,1
Alleycropping-Solo,Variable Cost,Maize,Brazil,,4,1
Alleycropping-Solo,Gross Return,Maize,Brazil,,4,1
Alleycropping-Solo,Gross Margin,Maize,Brazil,,4,1
Inorganic Fertilizer-Solo,Biomass Yield,Napier Grass,Brazil,,15,1
Improved Varieties-Solo,Crop Yield,Passionfruit,Brazil,,18,1
Organic Fertilizer-Solo,Gross Return,Coffee,Peru,,2,1
Inorganic Fertilizer-Solo,Gross Return,Coffee,Peru,,2,1
Multistrata Agroforestry-Solo,Gross Return,Coffee,Peru,,4,1
Organic Fertilizer-Solo,Total Cost,Coffee,Peru,,2,1
Inorganic Fertilizer-Solo,Total Cost,Coffee,Peru,,2,1
Multistrata Agroforestry-Solo,Total Cost,Coffee,Peru,,4,1
Organic Fertilizer-Solo,Fixed Cost,Coffee,Peru,,2,1
Inorganic Fertilizer-Solo,Fixed Cost,Coffee,Peru,,2,1
Multistrata Agroforestry-Solo,Fixed Cost,Coffee,Peru,,4,1
Organic Fertilizer-Solo,Net Return,Coffee,Peru,,2,1
Inorganic Fertilizer-Solo,Net Return,Coffee,Peru,,2,1
Multistrata Agroforestry-Solo,Net Return,Coffee,Peru,,4,1
Organic Fertilizer-Solo,Benefit Cost Ratio (NRTC),Coffee,Peru,,2,1
Inorganic Fertilizer-Solo,Benefit Cost Ratio (NRTC),Coffee,Peru,,2,1
Multistrata Agroforestry-Solo,Benefit Cost Ratio (NRTC),Coffee,Peru,,4,1
Organic Fertilizer-Solo,Biomass Yield,Cowpea,Brazil,,1,1
Mulch-Solo,Biomass Yield,Cowpea,Brazil,,3,1
Mulch-Organic Fertilizer-Solo,Biomass Yield,Cowpea,Brazil,,1,1
Organic Fertilizer-Solo,Crop Yield,Cowpea,Brazil,,1,1
Mulch-Solo,Crop Yield,Cowpea,Brazil,,3,1
Mulch-Organic Fertilizer-Solo,Crop Yield,Cowpea,Brazil,,1,1
Inorganic Fertilizer-Solo,Biomass Yield,Cowpea,Brazil,,5,1
