PrName,Out.SubInd,Product.Simple,Observations,Studies
Improved Fallow-Intercropping-Solo,Crop Yield,Common Bean,7,1
Deficit Irrigation-Solo,Crop Yield,Common Bean,24,1
Improved Varieties-Solo,Crop Yield,Common Bean,1,1
Crop Rotation-Inorganic Fertilizer-Mulch-Solo,Crop Yield,Maize,3,1
pH Control-Solo,Crop Yield,Coffee,20,1
Crop Residue Incorporation-Crop Rotation-Mulch-Reduced Tillage-Solo,Crop Yield,Maize,9,1
Mulch-pH Control-Solo,Crop Yield,Maize,1,1
Crop Rotation-pH Control-Solo,Crop Yield,Common Bean,4,1
Alleycropping-Crop Rotation-Solo,Crop Yield,Common Bean,4,1
Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Common Bean,2,1
Crop Rotation-Inorganic Fertilizer-Intercropping-Solo,Crop Yield,Maize,4,1
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,Crop Yield,Maize,2,1
Parklands-Solo,Crop Yield,Maize,2,1
Alleycropping-Solo,Crop Yield,Maize,4,1
Inorganic Fertilizer-pH Control-Solo,Crop Yield,Maize,5,1
Biochar-Solo,Crop Yield,Common Bean,6,1
Biochar-Organic Fertilizer-Solo,Crop Yield,Common Bean,3,1
Agroforestry Pruning-Multistrata Agroforestry-Solo,Crop Yield,Coffee,1,1
Double Cropping-Solo,Crop Yield,Coffee,12,1
Mulch-Solo,Crop Yield,Common Bean,5,1
Mulch-Reduced Tillage-Solo,Crop Yield,Common Bean,2,1
Crop Rotation-Mulch-Reduced Tillage-Solo,Crop Yield,Common Bean,2,1
Crop Rotation-Mulch-Solo,Crop Yield,Common Bean,1,1
Crop Rotation-Reduced Tillage-Solo,Crop Yield,Common Bean,4,1
Green Manure-Solo,Crop Yield,Maize,10,1
Crop Rotation-Reduced Tillage-Solo,Crop Yield,Maize,8,1
Crop Residue Incorporation-Reduced Tillage-Solo,Crop Yield,Maize,1,1
Biochar-Organic Fertilizer-Solo,Crop Yield,Maize,1,1
Biochar-Mulch-Organic Fertilizer-Solo,Crop Yield,Maize,3,1
Biochar-Inorganic Fertilizer-Mulch-Organic Fertilizer-Solo,Crop Yield,Maize,1,1
Inorganic Fertilizer-Mulch-Solo,Crop Yield,Maize,1,1
Crop Residue-Mulch-Solo,Crop Yield,Maize,20,1
Crop Residue-Mulch-Reduced Tillage-Solo,Crop Yield,Maize,9,1
Inorganic Fertilizer-Combo,Crop Yield,Common Bean,2,1
Harvest Method-Combo,Crop Yield,Maize,9,1
Intercropping-Combo,Crop Yield,Coffee,1,1
Intercropping-Combo,Crop Yield,Common Bean,7,1
Mulch-Combo,Crop Yield,Common Bean,5,1
Supplemental Irrigation-Combo,Crop Yield,Coffee,1,1
Improved Fallow-Combo,Crop Yield,Common Bean,7,1
Agroforestry Pruning-Combo,Crop Yield,Coffee,1,1
pH Control-Combo,Crop Yield,Common Bean,4,1
Multistrata Agroforestry-Combo,Crop Yield,Coffee,1,1
Crop Residue Incorporation-Combo,Crop Yield,Common Bean,2,1
Alleycropping-Combo,Crop Yield,Common Bean,4,1
Biochar-Combo,Crop Yield,Common Bean,3,1
Biochar-Combo,Crop Yield,Maize,5,1
Crop Residue-Combo,Crop Yield,Common Bean,2,1
