Code,Theme,Theme.Code,Practice,Practice.Code,Subpractice,Subpractice.Code,Subpractice.S,Subpractice.Suffix,Definition,Notes,Linked.Tab,Linked.Col,Depreciated,Ref_Source,Ref_Name,Ref_Link,Ref_Match,Ref_Notes,Ref2_Source,Ref2_Name,Ref2_Link,Ref2_Match,Ref2_Notes
b41.1,Soil Management,Soil Management,Crop Residue Incorporation,CRI,Crop Residue Incorporation (N fixing),CRI+N,Residue Incorp (Nfix),Nfix,The incorporation of crop residues from a nitrogen-fixing (leguminous) plant. Residues may be brought to the field as biomass transfer.,This practice should not be used for Agroforestry residues (use the agroforestry theme).,Res.Out,M.Level.Name,FALSE,,,,,,,,,,
b41.2,Soil Management,Soil Management,Crop Residue Incorporation,CRI,Crop Residue Incorporation (Non N fixing),CRI-N,Residue Incorp (nonNfix),nonNfix,The incorporation of crop residues from a non nitrogen-fixing (not leguminous) plant. Residues may be brought to the field as biomass transfer.,This practice should not be used for Agroforestry residues (use the agroforestry theme).,Res.Out,M.Level.Name,FALSE,,,,,,,,,,
b60,Soil Management,Soil Management,Improved Fallow,IFa,Improved Fallow (Unspecified),IF,Imp Fallow (noID),NoID,"Planting fallows with unspecified plant species to improve soil health, typically lasting more than one season.",,Rot.Out,ED.Rot,FALSE,,,,,,,,,,
b60.1,Soil Management,Soil Management,Improved Fallow,IFa,Improved Fallow (N fixing),IF+N,Imp Fallow (Nfix),Nfix,"Planting fallows with nitrogen-fixing (leguminous) plant species to improve soil health, often lasting more than one season.",,Rot.Out,ED.Rot,FALSE,,,,,,,,,,
b60.2,Soil Management,Soil Management,Improved Fallow,IFa,Improved Fallow (Non N fixing),IF-N,Imp Fallow (nonNfix),nonNfix,"Planting fallows with non nitrogen-fixing (not leguminous) plant species to improve soil health, often lasting more than one season.",,Rot.Out,ED.Rot,FALSE,,,,,,,,,,
b60.3,Soil Management,Soil Management,Improved Fallow,IFa,Improved Fallow (N & Non N fixing),IF±N,Imp Fallow (Mixed),Mixed,"Planting fallows with nitrogen-fixing (leguminous) and non nitrogen-fixing plant species to improve soil health, often lasting more than one season.",,Rot.Out,ED.Rot,FALSE,,,,,,,,,,
b34,Blue Water Management,Blue Water Management,Irrigation,Ir,Drip Irrigation,Ir+Dr,Irrigation Drip,NA,The use of plastic pipes to drip water into the soil at low pressure.,,Irrig.Out,I.Level.Name,TRUE,,,,,,,,,,
b37,Blue Water Management,Blue Water Management,Deficit Irrigation,DIr,Deficit Irrigation,Ir+De,Irrigation Deficit,NA,Application of water below full crop requirements compared to a control of conventional irrigation.,,Irrig.Out,I.Level.Name,FALSE,,,,,,,,,,
b72,Blue Water Management,Blue Water Management,Irrigation,Ir,Sprinkler Irrigation,Ir+S,Irrigation Sprinkers,NA,Application of irrigation through sprinkler technology.,,Irrig.Out,I.Level.Name,TRUE,,,,,,,,,,
b36,Blue Water Management,Blue Water Management,Irrigation,Ir,Alternate Partial Rootzone Irrigation,Ir+APR,Irrigation APRI,NA,Part of the root is exposed to drying soil and the remaining is irrigated in accordance with crop requirements and soil drying rate. This practice is also called partial root zone drying (PRD).,,Irrig.Out,I.Level.Name,TRUE,,,,,,,,,,
b54,Blue Water Management,Blue Water Management,Supplemental Irrigation,SIr,Supplemental Irrigation,Ir+Su,Irrigation Supp,NA,The addition of irrigation to typically rainfed crops.,,Irrig.Out,I.Level.Name,FALSE,,,,,,,,,,
b53,Blue Water Management,Blue Water Management,Irrigation,Ir,Irrigation (Other),IrO,Irrigation Other,NA,The use of improved irrigation that isn't more specifically defined.,,Irrig.Out,I.Level.Name,TRUE,,,,,,,,,,
b35,Green Water Management,Green Water Management,Water Harvesting,WH,Cisterns and Tanks,WH+WT,Water Tanks,NA,The active collection and storage of water runoff for irrigation purposes.,,WH.Out,WH.Level.Name,FALSE,,,,,,,,,,
b33,Green Water Management,Green Water Management,Water Harvesting,WH,Zai Pits,WH+ZP,Zai Pits,NA,"Small pits to capture water. Pits are filled with manure, compost or other nutrient sources before the rainy season. Crops are planted directly into the pits.","Usually associated with a mulch, compost or manure practice.
Typically identified by the author.",WH.Out,WH.Level.Name,FALSE,,,,,,,,,,
b45,Green Water Management,Green Water Management,Water Harvesting,WH,Stone Rows,WH+SR,Stone Rows,NA,"Stones piled in rows within a field, typically along contour lines, for the purpose of rainwater harvesting or soil water conservation.",,WH.Out,WH.Level.Name,FALSE,,,,,,,,,,
b46,Green Water Management,Green Water Management,Water Harvesting,WH,Grass Strips,WH+GS,Grass Strips,NA,"Strips of grass within a field or farm created for erosion control, typically they are placed along contour lines.",,WH.Out,WH.Level.Name,FALSE,,,,,,,,,,
b47,Green Water Management,Green Water Management,Water Harvesting,WH,Planting Basins,WH+PB,Planting Basins,NA,"Small planting pits dug to capture water, crops are planted directly into the pits.","Typically identified by the author.
If pits are dug one year and then kept across many seasons, after season one this can be considered a form of reduced tillage.",WH.Out,WH.Level.Name,FALSE,,,,,,,,,,
b68,Green Water Management,Green Water Management,Water Harvesting,WH,Dam,WH+Da,Dam,NA,Construction or enhancement of water capture and storage using small dams (e.g. Chaco dams).,,WH.Out,WH.Level.Name,FALSE,,,,,,,,,,
b70,Green Water Management,Green Water Management,Water Harvesting,WH,Terraces,WH+Te,Terraces,NA,The soil of steeply sloping fields is dug into large steps.,,WH.Out,WH.Level.Name,FALSE,,,,,,,,,,
b71.1,Green Water Management,Green Water Management,Water Harvesting,WH,Bunds,WH+Bu,Bunds,NA,"A permanent or semi-permanent ridge of soil or stone typically constructed along a contour that slows water from moving off-site, names include contour bunds, stone bunds, semicircular bunds.",,WH.Out,WH.Level.Name,FALSE,,,,,,,,,,
b71.2,Green Water Management,Green Water Management,Water Harvesting,WH,Ridge & Furrow,WH+RF,Ridge & Furrow,NA,The mounding of soil to allow movement and storage of water in a furrow next to the ridge. Ridges are usually remade each season.,"This practices is also a tillage practice, but it's nature depends on the comparison. Sometimes it reduced tillage (e.g., if compared to deep mechanical tillage), sometimes it's conventional practice (e.g. if compared to no-tillage).",WH.Out,WH.Level.Name,FALSE,,,,,,,,,,
b71.3,Green Water Management,Green Water Management,Water Harvesting,WH,Tied Ridges,WH+TR,Tied Ridges,NA,Basins are made by digging out shallow furrows along the contour lines of a slope and making ridges on the downside of the furrows. These are “tied” together by slightly lower ridges which are made at regular intervals along the furrows.,"If tied ridges are dug one year and then kept across many seasons, after season one this can be considered a form of reduced tillage, this will typically be identified by the author.",WH.Out,WH.Level.Name,FALSE,,,,,,,,,,
b52,Green Water Management,Green Water Management,Water Harvesting,WH,Microcatchments,WH+Mi,Microcatchments,NA,"Microcatchment is a term for infield water catchment. Negarim microcatchments, for example, are diamond-shaped basins surrounded by small earth bunds with an infiltration pit in the lowest corner of each. Runoff is collected from within the basin and stored in the infiltration pit. Microcatchments are mainly used for growing trees or bushes.",Typically identified by the author.,WH.Out,WH.Level.Name,FALSE,,,,,,,,,,
b56,Green Water Management,Green Water Management,Water Harvesting,WH,Fanya Juu or Fanya Chini,WH+FJFC,Fanya Juu or Chini,NA,"A local method used in Tanzania of ditches dug on steep slopes. Fanya juu are terraces constructed by digging ditches and heaping the soil, forming bunds in the upper sides of the ditches. Fanya chini are similar to fanya juus except that the soil is put on the lower side of the contour trench.",Typically identified by the author.,WH.Out,WH.Level.Name,FALSE,,,,,,,,,,
b58,Green Water Management,Green Water Management,Water Harvesting,WH,Trench,WH+Tr,Trench,NA,A trench dug along the contour lines of a field to capture water. This practice should have no associated bunds or banks with the trench.,,WH.Out,WH.Level.Name,FALSE,,,,,,,,,,
b13,Blue Water Management,Blue Water Management,Improved Rice Management,IRM,Alternate Wetting & Drying (AWD),IRM+AWD,AWD,NA,"Repeated flooding and draining of paddy rice fields, managed responsively in relation to soil moisture levels.",,NA,NA,FALSE,,,,,,,,,,
b14.1,Blue Water Management,Blue Water Management,Improved Rice Management,IRM,Midseason Drainage,IRM+MD,Midseason Drainage,NA,"The paddy rice field is drained during the season, but usually only once.",,NA,NA,FALSE,,,,,,,,,,
b14.2,Blue Water Management,Blue Water Management,Improved Rice Management,IRM,Reduced Water Use in Rice,IRM+RWU,Reduced Water Use,NA,Practices that reduce water use in rice that are not alternate wetting & drying (AWD) or midseason drainage. Consider creating a new practice rather than using this code.,,NA,NA,FALSE,,,,,,,,,,
b15,Blue Water Management,Blue Water Management,Improved Rice Management,IRM,System of Rice Intensification (SRI),SRI,SRI,NA,"If possible it is best to unpack SRI into its component practices rather than using this practice code. If impossible to disaggregate the SRI practice then use this code. 
SRI is a system package which can include early transplanting (8-12 days), 25cm spacing and alternate wet and dry. Identified by authors.",,NA,NA,TRUE,,,,,,,,,,
b3.1,Crop Management,Crop Management,Crop Rotation,CRo,Rotation (N fixing),CRo+N,Rotation (Nfix),Nfix,"A crop rotation sequence of two or more legumes.
A general definition of rotation is that more than one crop is grown in the same location, but across different growing season (diversification in time). Different varieties of the same crop do not count as rotation. A crop is not counted in a rotation sequence when it is obviously a minor intercrop to a main crop which is invariant over time (typically there is standard planting of the main crop from year to year and the intercrop is squeezed in-between the rows of the main crop, for example cowpea planted at a low density inbetween maize rows).",Crops should be grown for harvest and not as cover crop or green manure.,Rot.Out,ED.Rot,FALSE,,,,,,,,,,
b3.2,Crop Management,Crop Management,Crop Rotation,CRo,Rotation (Non N fixing),CRo-N,Rotation (nonNfix),nonNfix,"A crop rotation sequence with two or more non-legumes.
A general definition of rotation is that more than one crop is grown in the same location, but across different growing season (diversification in time). Different varieties of the same crop do not count as rotation.",Crops should be grown for harvest and not as cover crop or green manure.,Rot.Out,ED.Rot,FALSE,,,,,,,,,,
b43,Crop Management,Crop Management,Crop Rotation,CRo,Rotation (N fixing & Non N fixing),CRo±N,Rotation (Mixed),Mixed,"A crop rotation sequence containing non-leguminous and leguminous crops (e.g. a maize/bean rotation a maize-bean intercrop followed by cassava). 
A general definition of rotation is that more than one crop is grown in the same location, but across different growing season (diversification in time). Different varieties of the same crop do not count as rotation. A crop is not counted in a rotation sequence when it is obviously a minor intercrop to a main crop which is invariant over time (typically there is standard planting of the main crop from year to year and the intercrop is squeezed in-between the rows of the main crop, for example cowpea planted at a low density inbetween maize rows).",Crops should be grown for harvest and not as cover crop or green manure.,Rot.Out,ED.Rot,FALSE,,,,,,,,,,
b44,Crop Management,Crop Management,Crop Rotation,,Complex Rotation,,Rotation (Complex),Complex,"A crop rotation sequence with three or more species or rotations with different annual cycles. If intercropping is present in a complex rotation then this should also be captured with an intercropping code. A species is not counted towards a rotation sequence species count when it is obviously a minor intercrop to a main crop which remains invariant (typically there is standard planting of the main crop from year to year and the intercrop is squeezed in-between the rows of the main crop, for example cowpea planted at a low density inbetween maize rows). If it is not clear which crops are main or minor or not then count them all towards a complex rotation total (so an experiement might have maize one year, then the next year some maize rows are replaced with beans, in this case the beans are counted as a rotation crop and the number of species is two). 
A general definition of rotation is that more than one crop is grown in the same location, but across different growing season (diversification in time). Different varieties of the same crop do not count as rotation. Crops should be grown for harvest and not as cover crop or green manure.",,Rot.Out,ED.Rot,TRUE,,,,,,,,,,
