Table,Table_Description,Field,Calculated,Display_Name,Data_Type,Field_Description,Notes,Values,Validation,Required,Ref_Source,Ref_Name,Ref_Link,Ref_Match,Ref_Notes,Translation source,Spanish Translation,Ref2_DataScribe,Ref2_Source,Ref2_Name,Ref2_Link,Ref2_Match,Ref2_Notes,Other_Links,...26,...27
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Agg,No,Does the location contain sub-locations?,Character,"State yes if a paper reports a general location which contains sub-locations that you do not know the co-ordinates of. For example a paper might state ""we repeated the experiment on 10 farms in 5 villages in Busia county, Kenya"" so we have a county location and know there are 5 village sub-locations in this county, we don't know where these villages are and results are reported averaged across all the farms and villages. If we know the location or names of the villages (e.g. results are reported per village) then we create one site per village and state ""no"" in this field.",,"Yes, No",NA,Yes,,,,,,,,,,,,,,,,
Site.Out,FIELD NOT REQUIRED,Site.Loc.Type,No,Was Location Incorrect?,Character,"Using GoogleMaps (a link is generated) or  Google Earth, please check the lat/long co-ordinates reported in the publication match the site names given and that they are in a sensible place, correct published values as needed. Publication locations are often inaccurate or totally wrong!, if it seems reasonable select ""Yes"", if it looks wrong choose ""No"" if they didn't give a location choose ""Unspecified"".",,"A Lot, Somewhat, A Little, No, Unspecified,Used Existing ERA Location",NA,Yes,,,,,,,,,,,,,,,,
Site.Out,FIELD NOT REQUIRED,Site.Loc.Fixed,No,Location Corrected If Incorrect/Unspecified?,Character,"If you manage to find a better location then please record this below and choose ""Yes"" here. If you can't find a better location then record the location as per the publication recording ""No"" here.",,"Yes, No",NA,"Required if Site.Loc.Type!=""No""",,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.LatD,No,Latitude (Decimal Degrees),Numeric,"Longitude and latitude are geographic coordinates that specify the position of a point on the Earth's surface, with longitude measuring east-west position and latitude measuring north-south position",,NA,Should be within the country selected.,Yes,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Lat.Unc,No,Latitude Uncertainty (m),Numeric,An important field used where a location is a region (e.g. a county or district polygon) which has a bounding box that is more rectangular than square (if square then just used the Uncertainty (Radius in m) field). Give the height of the region NAMITA IS THIS THE TOTAL HEIGHT OR HALF THE HEIGHT in meters?,,NA,Values <=10m are suspicious (this would be very tiny region or experiment),Yes if Site.Buffer.Manual is blank or Site.Lon.Unc is not blank,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.LonD,No,Longitude (Decimal Degrees),Numeric,"Longitude and latitude are geographic coordinates that specify the position of a point on the Earth's surface, with longitude measuring east-west position and latitude measuring north-south position",,NA,Should be within the country selected.,Yes,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Lon.Unc,No,Longitude Uncertainty (m),Numeric,An important field used where a location is a region (e.g. a county or district polygon) which has a bounding box that is more rectangular than square (if square then just used the Uncertainty (Radius in m) field). Give the width of the region NAMITA IS THIS THE TOTAL HEIGHT OR HALF THE HEIGHT in meters?,,,Values <=10m are suspicious (this would be very tiny region or experiment),Yes if Site.Buffer.Manual is blank or Site.Lat.Unc is not blank,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Buffer.Manual,No,Uncertainty (Radius in m),Numeric,An important field used to indicate spatial uncertainty where a location is a point or a region  (e.g. a county or district polygon) with a square bounding box. Give the radius of uncertainty in meter for the point or region (so the distance from the centre of the region or study plot to the edge). If the study site is a research station you take the centre of the research station to the edge of the station.,,,Values <=10m are suspicious (this would be very tiny region or experiment),"Yes if Site.Lat.Unc & Site.Lon.Unc are not blank, not allowed to be filled if Site.Lat.Unc|Site.Lon.Unc are not blank.",,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Rain.Seasons,No,Number of Rainy Seasons,Integer,,,"1,2,Year Round,Unspecified,NA",NA,Yes,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Start.S1,No,Season1 Start,Character,,,lookup_levels$Site.Seasons,NA,No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.End.S1,No,Season1 End,Character,,,lookup_levels$Site.Seasons,NA,No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Length.S1,No,Rainy  Season 1 Length (days),Integer,,,NA,"<=365, warning if >=200 and not in RCongo or DRCongo",No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Start.S2,No,Season2 Start,Character,,,lookup_levels$Site.Seasons,NA,No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.End.S2,No,Season2 End,Character,,,lookup_levels$Site.Seasons,NA,No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Length.S2,No,Rainy Season 2 Length (days),Integer,,,NA,Value<(365-Site.Length.S1),No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.MSP.S1,No,Mean Seasonal Precipitation (mm) - S1,Integer,,,NA,Range 0 to 9000. Warning on values not in range 200 to 4000. This could be linked to a country table.,No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.MSP.S2,No,Mean Seasonal Precipitation (mm) - S2,Integer,,,NA,Range 0 to 9000. Warning on values not in range 200 to 4000. This could be linked to a country table.,No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.MAP,No,Mean Annual Rainfall (mm),Integer,This field is used to report the long-term avergae mean annual rainfall of the location. Rainall that is reported for a specific season or year during the experiment should be recorded in the times tab,,NA,Range 0 to 9000. Warning on values not in range 200 to 4000. This could be linked to a country table.,No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.MAT,No,Mean Annual Temperature (°C),Integer,This field is used to report the long-term avergae mean annual temperature of the location. Temperature that is reported for a specific season or year during the experiment should be recorded in the times tab,,NA,Range 5 to 45. Warning on values not in range 10 to 35.,No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Elevation,No,Elevation (masl),Integer,,,NA,Range  -200 to 5000. Warning on values not in range  to 5 to 3500.,No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Slope.Perc,No,Slope (%),Numeric,,,NA,"Range 0 to 100, warn on values >70.",No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Slope.Degree,No,Slope (°),Numeric,,,NA,"Range 0 to 90, warn on values >65.",No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Soil.Texture,No,Soil Texture,Character,,,lookup_levels$Soil.Texture,NA,No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Notes,No,Site.Notes,Character,,,Free Text,NA,No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",B.Code,Yes,NA,Character,,,Pub.Out$B.Code,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Site.ID,No,Site Name,Character,"If you select a site name that already exists in ERA, the latitude and longitude fields will auto-populate. Please check the auto-generated co-ordinates against the ones reported in the publication and in GoogleMaps/Earth. If there is a mismatch you can overwrite the autogenerated values.",,"Free Text/Can choose exisiting Site.ID for specified Country within the database or add a new one, perhaps the list should also be subset by Site experimental type. If co-ordinates are changed for the site we need to Flag this to check.",None,Yes,NA,NA,NA,NA,NA,Camila,Nombre del sitio,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.Upper,No,Depth (cm) Upper,Numeric,"The upper limit of depth at which soil samples are collected for analysis of soil properties such as texture, pH, and nutrient content.",,NA,"Range 0 to 500, Soil.Upper>=Soil.Lower",Yes,AGROVOC,depth,http://aims.fao.org/aos/agrovoc/c_2190,Partial,measure > dimensions > depth,Camila,Profundidad,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.Lower,No,Depth (cm) Lower,Numeric,"The lower limit of depth at which soil samples are collected for analysis of soil properties such as texture, pH, and nutrient content. The lower depth will be greater than the upper depth",,NA,"Range 0 to 500, Soil.Lower>=Soil.Upper",Yes,AGROVOC,depth,http://aims.fao.org/aos/agrovoc/c_2190,Partial,measure > dimensions > depth,Camila,Profundidad,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",SND,No,Sand (%),Numeric,"Content of mineral particles with sizes between 63µm-2mm in soil. Note: According to different national and international particle-size classification systems, size classes may differ slightly. Source: AGROVOC",,NA,"Range 0 to 100, SND<=(100-SLT-CLY)",No,AGROVOC,"soil separates
sand",http://aims.fao.org/aos/agrovoc/c_7190,Partial,"properties > soil properties > soil chemicophysical properties > soil texture > soil separates
substances > rock > sand",Camila,Arena,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",SLT,No,Silt (%),Numeric,"Content of mineral particles with sizes between 2-63µm in soil. Note: According to different national and international particle-size classification systems, size classes may differ slightly. Source: AGROVOC",,NA,"Range 0 to 100, SLT<=(100-SND-CLY)",No,AGROVOC,"soil separates
silt","http://aims.fao.org/aos/agrovoc/c_7190
http://aims.fao.org/aos/agrovoc/c_331558",Partial,"properties > soil properties > soil chemicophysical properties > soil texture > soil separates
substances > sediment > silt",Camila,Limo,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",CLY,No,Clay (%),Numeric,Very fine mineral particles smaller than 2 µm. Source: AGROVOC,,NA,"Range 0 to 100, CLY<=(100-SND-SLT)",No,AGROVOC,clay,http://aims.fao.org/aos/agrovoc/c_15619,Yes,"... > soil properties > soil chemicophysical properties > soil texture > soil separates > clay
substances > rock > clay",Camila,Arcilla,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.BD,No,Bulk Density (BD),Numeric,"Also called Soil Density. Soil bulk density is the weight of soil per unit volume, expressed in g/cm3 or Mg/m3, and is an indicator of soil compaction or looseness, which affects root growth, water infiltration, and nutrient availability.",,NA,Depends on Unit,No,AGROVOC,soil density,http://aims.fao.org/aos/agrovoc/c_7167,Yes,properties > soil properties > soil chemicophysical properties > soil density,Camila,Densidad aparente,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.TC,No,Total Carbon (TC),Numeric,"Content or amount of total carbon in soil, including organic carbon and carbon from lime. Source: AGROVOC",,NA,Depends on Unit,No,AGROVOC,total carbon,http://aims.fao.org/aos/agrovoc/c_24fb4269,Yes,properties > soil properties > soil chemicophysical properties > total carbon,Camila,Carbono total,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.SOC,No,Soil Organic Carbon Content (SOC),Numeric,"Soil organic carbon (SOC) content is a measure of the amount of carbon present in the soil in the form of organic matter, such as dead plant and animal material, that has not yet decomposed into inorganic carbon dioxide. SOC content is expressed as a percentage or weight of carbon per unit of soil mass and is a critical indicator of soil health and fertility. Soil organic carbon (SOC) is a component of soil organic matter (SOM) and represents the carbon-containing fraction of SOM.",,NA,Depends on Unit,No,AGROVOC,soil organic carbon,http://aims.fao.org/aos/agrovoc/c_389fe908,Yes,substances > organic matter > soil organic matter > soil organic carbon,Camila,Contenido de carbono organico,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.SOM,No,Soil Organic Matter Content (SOM),Numeric,"Soil organic matter (SOM) content, includes both living and dead organic matter in the soil, such as plant roots, microorganisms, and decomposing organic materials. SOM is a more comprehensive measure of the total organic matter in the soil (than SOC), including both the stable and labile fractions, and is a key indicator of soil quality and productivity. While SOC is a subset of SOM, SOM takes into account the complex interactions among different organic matter components and soil properties, making it a more comprehensive indicator of soil health.",,NA,Depends on Unit,No,AGROVOC,soil organic matter,http://aims.fao.org/aos/agrovoc/c_35657,Yes,substances > organic matter > soil organic matter,Camila,Contenido de materia organica,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.pH,No,Soil pH,Numeric,"Soil pH is a measure of the acidity or alkalinity of the soil, expressed as the negative logarithm of the hydrogen ion concentration (pH scale ranges from 0 to 14). The pH scale is logarithmic, so each whole number represents a tenfold difference in acidity or alkalinity. Soil pH is a critical parameter for soil fertility and plant growth, as it influences nutrient availability, microbial activity, and soil structure.",,NA,"Range 3 to 11, warning if <4 or >10",No,AGROVOC,soil pH,http://aims.fao.org/aos/agrovoc/c_34901,Yes,"properties > chemicophysical properties > pH > soil pH
measure > pH > soil pH
properties > soil properties > soil chemicophysical properties > soil pH",Camila,pH del suelo,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.CEC,No,Cation Exchange Capacity (CEC),Numeric,"Cation Exchange Capacity (CEC) is a measure of the soil's ability to hold positively charged ions, known as cations, and is expressed as the number of milliequivalents of cations per 100 grams of soil. CEC is a critical parameter for soil fertility, as it influences the soil's ability to retain and supply essential plant nutrients such as calcium, magnesium, and potassium. While CEC and EC are both indicators of soil health and fertility, CEC relates to the soil's nutrient-holding capacity, while EC reflects the level of soil salinity.",,NA,Depends on Unit,No,AGROVOC,cation exchange capacity,http://aims.fao.org/aos/agrovoc/c_24981,Yes,"properties > chemicophysical properties > ion exchange capacity > cation exchange capacity
measure > ion exchange capacity > cation exchange capacity",Camila,Capacidad de intercambio cationico,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.EC,No,Electrical Conductivity (EC),Numeric,"Electrical Conductivity (EC), is a measure of the soil's ability to conduct electrical charges and is expressed as the amount of electrical current that passes through a soil sample. EC is related to the concentration of soluble salts in the soil, and high EC values can indicate soil salinity, which can be detrimental to crop growth and yield. While CEC and EC are both indicators of soil health and fertility, CEC relates to the soil's nutrient-holding capacity, while EC reflects the level of soil salinity.",,NA,Depends on Unit,No,AGROVOC,electrical conductivity,http://aims.fao.org/aos/agrovoc/c_24022,Yes,properties > chemicophysical properties > electrical properties > electrical conductivity,Camila,Conductividad electrica,,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.FC,No,Water Holding Capacity (WHC),Numeric,"Soil water holding capacity (WHC) is the maximum amount of water that a given volume of soil can hold against the force of gravity, usually expressed as the amount of water retained per unit of soil depth or volume. The water holding capacity of a soil depends on its texture, structure, organic matter content, and compaction, and is a critical factor for plant growth and productivity, particularly in areas with limited or erratic rainfall.",,NA,Depends on Unit,No,AGROVOC,water holding capacity,http://aims.fao.org/aos/agrovoc/c_25304,Yes,properties > chemicophysical properties > water holding capacity,Camila,Capacidad de retencio de agua (o Capacidad de campo=Field capacity),,,,,,,,,
Soil.Out,"This section is used to record detailed soil properties at the beginning of an experiment, including texture, pH, nutrient content, and other relevant information. You can add several lines to the table where soil properties are reported for multiple depths. Don't record soil properties measured after an experiment has begun here.",Soil.TN,No,Total Nitrogen (TN),Numeric,Content or amount of total nitrogen in soil. Source: AGROVOC,,NA,Depends on Unit,No,AGROVOC,total nitrogen,http://aims.fao.org/aos/agrovoc/c_bdc779f4,Yes,"properties > soil properties > soil chemicophysical properties > nitrogen content > total nitrogen
properties > composition > proximate composition > nitrogen content > total nitrogen",Camila,Nitrogeno total,,,,,,,,,
