Practice,slope,lo,hi,p,pct,pct_lo,pct_hi,n,s,sig,label,climate_var,climate_family
Intercropping-Solo,0.353653950680533,0.148924125437207,0.558383775923859,0.00466020009549865,42.4262236214672,16.0584926994368,74.7845306556408,64,6,**,"+42.4% ** (n=64, s=6)",temp_tmean_var,Temperature
Crop Rotation-Combo,-0.268268122112862,-0.474698578542919,-0.0618376656828057,0.0143006850550087,-23.5297280095601,-37.7927465781634,-5.99645255774718,46,7,*,"-23.5% * (n=46, s=7)",temp_tmean_var,Temperature
Inorganic Fertilizer-Solo,-0.0268564910134053,-0.0706600776384746,0.0169470956116639,0.228138220615873,-2.64990623667177,-6.82214293263546,1.70915122975202,571,33,"","-2.6%  (n=571, s=33)",temp_tmean_var,Temperature
Organic Fertilizer-Solo,0.0755699714149913,-0.130072484437422,0.281212427267405,0.413525175830554,7.84986891572954,-12.1968215026054,32.4734983880474,76,8,"","+7.8%  (n=76, s=8)",temp_tmean_var,Temperature
Crop Residue-Combo,0.0941487286682091,-0.142414942276541,0.330712399612959,0.43037446804436,9.87231453959243,-13.2738681571505,39.1959406671318,77,7,"","+9.9%  (n=77, s=7)",temp_tmean_var,Temperature
Reduced Tillage-Solo,0.0734441962533237,-0.114873496497463,0.26176188900411,0.436076337567266,7.62084785308659,-10.8521088021294,29.9217147706783,47,6,"","+7.6%  (n=47, s=6)",temp_tmean_var,Temperature
Mulch-Combo,-0.0991866761856975,-0.399779237756643,0.201405885385248,0.508948766538689,-9.44263567897304,-32.9531956271681,22.3121118072883,69,8,"","-9.4%  (n=69, s=8)",temp_tmean_var,Temperature
Reduced Tillage-Combo,0.0274175945120697,-0.102853291921511,0.157688480945651,0.676298510591252,2.77969155111288,-9.77406674948197,17.0801410943705,79,8,"","+2.8%  (n=79, s=8)",temp_tmean_var,Temperature
Inorganic Fertilizer-Solo,-0.0530851900697703,-0.105065633886429,-0.00110474625311196,0.0453466475332035,-5.17007766358698,-9.97345672720291,-0.110413624562522,571,33,*,"-5.2% * (n=571, s=33)",eratio_eratio_l_0.1.max_seq,ETo / Evaporative
Crop Rotation-Combo,0.35629666723023,-0.0975202852935245,0.810113619753984,0.118395087894925,42.8031135470159,-9.29160590948215,124.816340793907,46,7,"","+42.8%  (n=46, s=7)",eratio_eratio_l_0.1.max_seq,ETo / Evaporative
Reduced Tillage-Combo,0.0795870358109147,-0.0481858575138511,0.20735992913568,0.217283983663624,8.28398012683704,-4.70433435374912,23.0425358025771,79,8,"","+8.3%  (n=79, s=8)",eratio_eratio_l_0.1.max_seq,ETo / Evaporative
Organic Fertilizer-Solo,-0.07415767295006,-0.208886048579263,0.0605707026791435,0.276093294694748,-7.1474721021183,-18.8512299448554,6.24427124610891,76,8,"","-7.1%  (n=76, s=8)",eratio_eratio_l_0.1.max_seq,ETo / Evaporative
Reduced Tillage-Solo,-0.115406939252532,-0.335183331693742,0.104369453188679,0.295565643633961,-10.8996514170594,-28.4793045769705,11.001047607896,47,6,"","-10.9%  (n=47, s=6)",eratio_eratio_l_0.1.max_seq,ETo / Evaporative
Intercropping-Solo,0.058479584941992,-0.111993087558106,0.22895225744209,0.359764840465028,6.02233409526518,-10.5949562449302,25.7282011717668,64,6,"","+6.0%  (n=64, s=6)",eratio_eratio_l_0.1.max_seq,ETo / Evaporative
Crop Residue-Combo,-0.0227583197727091,-0.252713241177724,0.207196601632306,0.843812789275322,-2.25013026645978,-22.3309427233165,23.0224412134398,77,7,"","-2.3%  (n=77, s=7)",eratio_eratio_l_0.1.max_seq,ETo / Evaporative
Mulch-Combo,-0.00485407770098047,-0.41174951947034,0.402041364068379,0.980683750000602,-0.484231570472726,-33.7509803833394,49.487316543304,69,8,"","-0.5%  (n=69, s=8)",eratio_eratio_l_0.1.max_seq,ETo / Evaporative
Intercropping-Solo,0.551728508122305,0.256369479329441,0.847087536915169,0.00154392447937115,73.6251550534254,29.2230092054083,133.284263017026,64,6,**,"+73.6% ** (n=64, s=6)",gdd_gdd_subopt,GDD
Reduced Tillage-Combo,0.0876307622656795,-0.0389042262162948,0.214165750747654,0.153490701413942,9.15849932378756,-3.81571759382107,23.8827974440018,79,8,"","+9.2%  (n=79, s=8)",gdd_gdd_subopt,GDD
Crop Rotation-Combo,0.170753905107652,-0.237274345298512,0.578782155513815,0.37040985219214,18.6198795634151,-21.122513834369,78.3864637634721,46,7,"","+18.6%  (n=46, s=7)",gdd_gdd_subopt,GDD
Crop Residue-Combo,0.125573709850693,-0.188378051541539,0.439525471242925,0.380221738885537,13.3798738016253,-17.1698492628155,55.1970589074583,77,7,"","+13.4%  (n=77, s=7)",gdd_gdd_subopt,GDD
Inorganic Fertilizer-Solo,0.0434014719369798,-0.0620090739557932,0.148812017829753,0.416583822354012,4.43570907614115,-6.01256416259833,16.0454823887864,571,33,"","+4.4%  (n=571, s=33)",gdd_gdd_subopt,GDD
Mulch-Combo,0.0928806067340781,-0.212333299419646,0.398094512887802,0.483635544673584,9.73307135489951,-19.1304884969366,48.8984751505928,69,8,"","+9.7%  (n=69, s=8)",gdd_gdd_subopt,GDD
Reduced Tillage-Solo,-0.110764160638783,-0.588601671918962,0.367073350641395,0.55144980828993,-10.4850164397799,-44.4897041660462,44.3503797161397,47,6,"","-10.5%  (n=47, s=6)",gdd_gdd_subopt,GDD
pH Control-Solo,-0.0288824248940788,-0.449673489677906,0.391908639889749,0.850053205120641,-2.8469314425044,-36.2163622212918,47.9802510305897,113,8,"","-2.8%  (n=113, s=8)",gdd_gdd_subopt,GDD
Organic Fertilizer-Solo,0.0164799646392864,-0.250900363852588,0.283860293131161,0.890040493704039,1.66165083035601,-22.1900105427357,32.8247352511156,76,8,"","+1.7%  (n=76, s=8)",gdd_gdd_subopt,GDD
